1.12E0	7.09E-2
1.17E0	3.72E-1
1.21E0	7.03E-1
1.27E0	1.16E0
1.31E0	1.36E0
1.36E0	1.56E0
1.46E0	1.76E0
1.53E0	1.80E0
1.61E0	1.77E0
1.66E0	1.72E0
1.70E0	1.67E0
1.77E0	1.60E0
1.83E0	1.53E0
1.94E0	1.40E0
1.99E0	1.36E0
2.08E0	1.30E0
2.17E0	1.25E0
2.28E0	1.22E0
2.39E0	1.20E0
2.53E0	1.20E0
2.67E0	1.21E0
2.79E0	1.24E0
2.91E0	1.30E0
3.01E0	1.36E0
3.09E0	1.44E0
3.21E0	1.58E0
3.29E0	1.68E0
3.35E0	1.74E0
3.41E0	1.79E0
3.45E0	1.80E0
3.49E0	1.80E0
3.54E0	1.75E0
3.59E0	1.68E0
3.63E0	1.59E0
3.66E0	1.47E0
3.69E0	1.35E0
3.72E0	1.22E0
3.75E0	1.02E0
3.77E0	8.56E-1
3.79E0	6.79E-1
3.82E0	4.72E-1
3.84E0	2.85E-1
3.86E0	1.37E-1
3.88E0	5.39E-2
