#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.696,-79462.6,0.0000000000000188127,-48824.8,-8.79284E-036,3.67665E-019,-3.50324E-037,-51.12,9.84342E-016,0.351649,
0.697,-79812.7,0.0000000000000188219,-48509,-5.45534E-035,3.67665E-019,-8.23579E-035,-51.0822,9.84369E-016,0.114588,
0.698,-80161.7,0.0000000000000188302,-48190.6,-1.1336E-034,3.67665E-019,-1.14184E-034,-51.0457,9.84397E-016,-0.122662,
0.699,-80509.7,0.0000000000000188374,-47869.7,2.5408E-035,3.67665E-019,-4.20536E-036,-51.0105,9.84425E-016,-0.360091,
0.7,-80856.6,0.0000000000000188436,-47546.2,-1.77203E-035,3.67665E-019,-5.80438E-036,-50.9764,9.84453E-016,-0.597692,
0.701,-81202.5,0.0000000000000188488,-47220.3,2.0444E-035,3.67665E-019,-7.13062E-036,-50.9436,9.84482E-016,-0.835455,
0.702,-81547.2,0.0000000000000188529,-46891.8,2.04087E-035,3.67665E-019,-7.22949E-036,-50.912,9.84511E-016,-1.07337,
0.703,-81890.8,0.000000000000018856,-46560.8,2.0373E-035,3.67665E-019,-7.32826E-036,-50.8817,9.84541E-016,-1.31144,
0.704,-82233.3,0.000000000000018858,-46227.3,2.44077E-035,3.67665E-019,-3.94514E-035,-50.8525,9.84571E-016,-1.54963,
0.705,-82574.6,0.0000000000000188589,-45891.3,8.4679E-036,3.67665E-019,3.78637E-035,-50.8247,9.84601E-016,-1.78796,
0.706,-82914.7,0.0000000000000188588,-45552.8,6.67854E-036,-2.52839E-018,1.5552E-035,-50.798,9.84632E-016,-2.02641,
0.707,-83253.7,0.0000000000000188576,-45211.9,-4.43239E-035,3.67665E-019,-1.0393E-034,-50.7726,9.84663E-016,-2.26497,
0.708,-83591.4,0.0000000000000188553,-44868.4,1.58663E-035,3.67666E-019,-1.44875E-035,-50.7485,9.84694E-016,-2.50363,
0.709,-83927.9,0.0000000000000188519,-44522.5,8.28131E-036,3.67666E-019,-1.72407E-035,-50.7256,9.84726E-016,-2.74238,
0.71,-84263.1,0.0000000000000188475,-44174.2,-2.49862E-035,3.67666E-019,-1.81171E-035,-50.7039,9.84758E-016,-2.98122,
0.711,-84597,0.000000000000018842,-43823.3,1.35689E-034,-2.52839E-018,1.42769E-034,-50.6834,9.84791E-016,-3.22014,
0.712,-84929.6,0.0000000000000188353,-43470.1,3.55951E-036,-2.52839E-018,-1.04353E-035,-50.6642,9.84824E-016,-3.45912,
0.713,-85260.9,0.0000000000000188276,-43114.4,-9.74601E-035,3.67666E-019,-5.66058E-035,-50.6463,9.84857E-016,-3.69816,
0.714,-85590.9,0.0000000000000188187,-42756.2,1.91751E-034,-2.52839E-018,1.84159E-034,-50.6296,9.84891E-016,-3.93725,
0.715,-85919.5,0.0000000000000188088,-42395.7,-2.87827E-035,3.67666E-019,-3.84821E-035,-50.6141,9.84925E-016,-4.17639,
0.716,-86246.7,0.0000000000000187977,-42032.7,-2.89716E-035,3.67666E-019,-3.83403E-035,-50.5999,9.84959E-016,-4.41555,
0.717,-86572.6,0.0000000000000187855,-41667.4,2.59919E-035,3.67666E-019,-3.85702E-035,-50.5869,9.84993E-016,-4.65474,
0.718,-86897,0.0000000000000187722,-41299.6,2.58019E-035,-2.52839E-018,-3.86969E-035,-50.5751,9.85028E-016,-4.89395,
0.719,-87220,0.0000000000000187578,-40929.5,-8.37475E-035,-2.52839E-018,-1.04388E-034,-50.5646,9.85064E-016,-5.13316,
0.72,-87541.6,0.0000000000000187422,-40556.9,3.54785E-035,3.67665E-019,-2.35653E-035,-50.5554,9.85099E-016,-5.37237,
0.721,-87861.6,0.0000000000000187255,-40182.1,-8.53805E-035,-2.52839E-018,-1.04334E-034,-50.5474,9.85135E-016,-5.61156,
0.722,-88180.2,0.0000000000000187076,-39804.8,1.77486E-034,3.67665E-019,1.63283E-034,-50.5406,9.85172E-016,-5.85074,
0.723,-88497.3,0.0000000000000186886,-39425.3,-7.50904E-036,-2.52839E-018,1.51403E-035,-50.5351,9.85208E-016,-6.08989,
0.724,-88812.8,0.0000000000000186685,-39043.3,3.10966E-035,-2.52839E-018,-2.56115E-035,-50.5308,9.85245E-016,-6.329,
0.725,-89126.9,0.0000000000000186472,-38659.1,2.79055E-035,-2.52839E-018,3.21447E-035,-50.5277,9.85283E-016,-6.56807,
0.726,-89439.3,0.0000000000000186248,-38272.6,-4.35735E-035,3.67666E-019,-1.1779E-034,-50.5259,9.8532E-016,-6.80708,
0.727,-89750.2,0.0000000000000186012,-37883.7,-5.3764E-035,3.67666E-019,-5.32963E-035,-50.5253,9.85358E-016,-7.04602,
0.728,-90059.4,0.0000000000000185764,-37492.6,-4.92367E-035,3.67666E-019,-8.3161E-035,-50.526,9.85397E-016,-7.2849,
0.729,-90367.1,0.0000000000000185505,-37099.2,-1.0553E-034,3.67666E-019,-5.2256E-035,-50.5279,9.85435E-016,-7.52369,
0.73,-90673.1,0.0000000000000185234,-36703.5,-5.62699E-035,3.67666E-019,-4.57996E-035,-50.531,9.85474E-016,-7.76239,
0.731,-90977.4,0.0000000000000184952,-36305.5,2.33477E-035,-2.52839E-018,1.07296E-035,-50.5354,9.85513E-016,-8.00099,
0.732,-91280.1,0.0000000000000184658,-35905.3,-2.1902E-035,-2.52839E-018,3.14627E-035,-50.541,9.85553E-016,-8.23949,
0.733,-91581.1,0.0000000000000184352,-35502.9,-3.07573E-035,3.67666E-019,-2.57369E-035,-50.5478,9.85593E-016,-8.47787,
0.734,-91880.4,0.0000000000000184034,-35098.3,-3.08846E-035,3.67666E-019,-2.55844E-035,-50.5559,9.85633E-016,-8.71612,
0.735,-92178,0.0000000000000183705,-34691.4,-3.10109E-035,3.67666E-019,-2.54312E-035,-50.5651,9.85673E-016,-8.95425,
0.736,-92473.9,0.0000000000000183364,-34282.3,-3.11365E-035,3.67666E-019,-2.52774E-035,-50.5757,9.85714E-016,-9.19223,
0.737,-92767.9,0.0000000000000183011,-33871.1,-3.12614E-035,3.67666E-019,-2.51228E-035,-50.5874,9.85755E-016,-9.43005,
0.738,-93060.3,0.0000000000000182646,-33457.7,-3.13855E-035,3.67666E-019,-2.49677E-035,-50.6004,9.85796E-016,-9.66772,
0.739,-93350.8,0.0000000000000182269,-33042.1,-5.75875E-035,-2.52839E-018,-1.05021E-034,-50.6145,9.85838E-016,-9.90522,
0.74,-93639.5,0.0000000000000181881,-32624.4,-1.90437E-035,3.67665E-019,-3.18974E-035,-50.6299,9.8588E-016,-10.1425,
0.741,-93926.4,0.000000000000018148,-32204.5,-8.53066E-035,-2.52839E-018,-1.05916E-034,-50.6466,9.85922E-016,-10.3797,
0.742,-94211.4,0.0000000000000181068,-31782.6,8.47873E-036,3.67666E-019,4.18152E-036,-50.6644,9.85964E-016,-10.6166,
0.743,-94494.6,0.0000000000000180644,-31358.5,-5.9097E-035,-2.52839E-018,-9.48703E-035,-50.6834,9.86007E-016,-10.8534,
0.744,-94776,0.0000000000000180208,-30932.3,-2.71436E-035,3.67666E-019,8.54656E-036,-50.7037,9.8605E-016,-11.0899,
0.745,-95055.4,0.000000000000017976,-30504,-4.76131E-035,-2.52839E-018,-7.19608E-035,-50.7252,9.86093E-016,-11.3262,
0.746,-95333,0.00000000000001793,-30073.7,-3.84417E-035,3.67666E-019,-3.32253E-035,-50.7478,9.86137E-016,-11.5623,
0.747,-95608.6,0.0000000000000178828,-29641.3,-2.13242E-035,3.67666E-019,-3.15588E-035,-50.7717,9.8618E-016,-11.7981,
0.748,-95882.3,0.0000000000000178345,-29206.9,2.26807E-035,3.67666E-019,-9.91157E-036,-50.7968,9.86224E-016,-12.0337,
0.749,-96154,0.0000000000000177849,-28770.5,2.26309E-035,3.67666E-019,-1.00233E-035,-50.8231,9.86268E-016,-12.2691,
0.75,-96423.8,0.0000000000000177341,-28332,2.25806E-035,3.67666E-019,-1.01348E-035,-50.8506,9.86313E-016,-12.5042,
0.751,-96691.6,0.0000000000000176822,-27891.6,2.25298E-035,3.67666E-019,-1.0246E-035,-50.8792,9.86358E-016,-12.739,
0.752,-96957.4,0.000000000000017629,-27449.1,2.24784E-035,3.67666E-019,-1.0357E-035,-50.9091,9.86402E-016,-12.9735,
0.753,-97221.2,0.0000000000000175747,-27004.7,2.24265E-035,3.67666E-019,-1.04678E-035,-50.9401,9.86448E-016,-13.2078,
0.754,-97482.9,0.0000000000000175191,-26558.4,-2.90071E-035,-2.52839E-018,-8.69491E-036,-50.9724,9.86493E-016,-13.4417,
0.755,-97742.7,0.0000000000000174624,-26110.1,-1.19825E-034,-2.52839E-018,-4.83673E-035,-51.0058,9.86539E-016,-13.6754,
0.756,-98000.4,0.0000000000000174045,-25659.9,-5.09466E-036,-2.52839E-018,-8.54302E-036,-51.0404,9.86585E-016,-13.9087,
0.757,-98256,0.0000000000000173453,-25207.8,-4.05888E-035,-2.52839E-018,-4.34898E-035,-51.0761,9.86631E-016,-14.1418,
0.758,-98509.5,0.000000000000017285,-24753.8,3.95804E-035,3.67666E-019,-3.10017E-036,-51.1131,9.86677E-016,-14.3745,
0.759,-98760.9,0.0000000000000172235,-24297.9,3.95642E-035,3.67666E-019,-3.29566E-036,-51.1512,9.86723E-016,-14.6068,
0.76,-99010.3,0.0000000000000171608,-23840.2,-8.16902E-035,3.67666E-019,-4.1456E-035,-51.1904,9.8677E-016,-14.8388,
0.761,-99257.5,0.0000000000000170969,-23380.6,-1.20541E-034,3.67666E-019,-3.87059E-035,-51.2309,9.86817E-016,-15.0705,
0.762,-99502.5,0.0000000000000170318,-22919.2,-5.80951E-035,3.67666E-019,-3.53235E-035,-51.2724,9.86864E-016,-15.3018,
0.763,-99745.4,0.0000000000000169655,-22456,-3.18904E-035,-2.52839E-018,-1.91331E-035,-51.3152,9.86911E-016,-15.5327,
0.764,-99986.2,0.0000000000000168981,-21991,-2.88479E-035,-2.52839E-018,1.27975E-035,-51.3591,9.86959E-016,-15.7633,
0.765,-100225,0.0000000000000168294,-21524.2,-2.87814E-035,3.67666E-019,1.29374E-035,-51.4041,9.87006E-016,-15.9934,
0.766,-100461,0.0000000000000167596,-21055.7,2.17432E-035,-2.52839E-018,1.56386E-035,-51.4503,9.87054E-016,-16.2232,
0.767,-100695,0.0000000000000166886,-20585.4,-7.70564E-035,3.67666E-019,-4.46694E-035,-51.4976,9.87102E-016,-16.4526,
