#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.844,-111412,7.97283E-015,19441.8,-1.8415E-035,-1.08036E-018,5.82434E-035,-58.1469,9.90996E-016,-32.3715,
0.845,-111451,7.82346E-015,19991.7,-2.30791E-035,-1.08036E-018,5.49424E-035,-58.2659,9.91044E-016,-32.5497,
0.846,-111487,7.67336E-015,20541.8,-2.28181E-035,-1.08036E-018,5.505E-035,-58.3855,9.91093E-016,-32.7271,
0.847,-111521,7.52253E-015,21092.2,-2.37366E-035,-1.08036E-018,2.85107E-035,-58.5058,9.91141E-016,-32.9037,
0.848,-111552,7.37099E-015,21642.9,1.53881E-035,3.67666E-019,-6.23307E-035,-58.6268,9.9119E-016,-33.0794,
0.849,-111580,7.21875E-015,22193.7,2.71034E-035,3.67666E-019,-9.72578E-035,-58.7484,9.91238E-016,-33.2542,
0.85,-111606,7.06581E-015,22744.8,2.72792E-035,3.67666E-019,-7.24597E-035,-58.8706,9.91286E-016,-33.4282,
0.851,-111629,6.91218E-015,23296,1.78716E-035,3.67666E-019,-9.97046E-035,-58.9934,9.91333E-016,-33.6013,
0.852,-111650,6.75788E-015,23847.3,4.15676E-036,-1.08036E-018,-7.11583E-036,-59.1168,9.91381E-016,-33.7736,
0.853,-111668,6.60291E-015,24398.8,8.58538E-037,-1.08036E-018,1.26266E-035,-59.2409,9.91428E-016,-33.945,
0.854,-111683,6.44728E-015,24950.4,-2.49668E-036,-1.08036E-018,3.43822E-036,-59.3655,9.91476E-016,-34.1155,
0.855,-111696,6.291E-015,25502.1,-9.59595E-036,3.67666E-019,7.61445E-035,-59.4907,9.91523E-016,-34.2852,
0.856,-111706,6.13408E-015,26053.9,-2.1484E-036,3.67666E-019,7.92905E-037,-59.6165,9.91569E-016,-34.454,
0.857,-111713,5.97653E-015,26605.8,1.90568E-036,3.67666E-019,1.51808E-035,-59.7429,9.91616E-016,-34.6219,
0.858,-111718,5.81835E-015,27157.7,1.9759E-036,3.67666E-019,1.5172E-035,-59.8698,9.91663E-016,-34.7889,
0.859,-111721,5.65956E-015,27709.6,-3.14141E-036,-1.08036E-018,6.69876E-035,-59.9973,9.91709E-016,-34.955,
0.86,-111721,5.50017E-015,28261.6,-5.80524E-037,3.67666E-019,1.83657E-035,-60.1253,9.91755E-016,-35.1203,
0.861,-111718,5.34018E-015,28813.5,1.32255E-037,3.67666E-019,1.83684E-035,-60.2539,9.91801E-016,-35.2847,
0.862,-111713,5.17961E-015,29365.4,2.16954E-037,3.67666E-019,1.83678E-035,-60.383,9.91846E-016,-35.4482,
0.863,-111705,5.01846E-015,29917.2,3.01548E-037,3.67666E-019,1.83668E-035,-60.5126,9.91892E-016,-35.6108,
0.864,-111695,4.85674E-015,30469,7.21136E-037,-1.08036E-018,-2.19168E-036,-60.6428,9.91937E-016,-35.7725,
0.865,-111682,4.69447E-015,31020.7,5.79865E-036,3.67666E-019,1.09465E-034,-60.7734,9.91982E-016,-35.9333,
0.866,-111666,4.53165E-015,31572.3,4.55827E-036,3.67666E-019,5.43332E-035,-60.9046,9.92027E-016,-36.0932,
0.867,-111648,4.36829E-015,32123.8,3.11824E-036,3.67666E-019,8.03165E-035,-61.0362,9.92071E-016,-36.2522,
0.868,-111628,4.2044E-015,32675.2,-2.12159E-036,-1.08036E-018,3.17599E-035,-61.1684,9.92116E-016,-36.4104,
0.869,-111605,4.03999E-015,33226.4,4.67282E-038,-1.08036E-018,6.18422E-037,-61.301,9.9216E-016,-36.5676,
0.87,-111579,3.87508E-015,33777.5,-1.1924E-036,-1.08036E-018,3.93877E-035,-61.4341,9.92204E-016,-36.7239,
0.871,-111551,3.70966E-015,34328.3,1.01835E-035,3.67666E-019,5.18224E-035,-61.5677,9.92247E-016,-36.8793,
0.872,-111521,3.54375E-015,34879,4.42252E-036,-1.08036E-018,-1.6936E-035,-61.7017,9.92291E-016,-37.0339,
0.873,-111488,3.37736E-015,35429.4,5.46387E-036,-1.08036E-018,4.72868E-036,-61.8362,9.92334E-016,-37.1875,
0.874,-111452,3.21049E-015,35979.6,5.10557E-036,3.67666E-019,2.18072E-035,-61.9711,9.92377E-016,-37.3402,
0.875,-111414,3.04316E-015,36529.6,5.20453E-036,3.67666E-019,2.17838E-035,-62.1065,9.92419E-016,-37.492,
0.876,-111374,2.87538E-015,37079.3,5.30325E-036,3.67666E-019,2.17601E-035,-62.2422,9.92462E-016,-37.6429,
0.877,-111331,2.70716E-015,37628.7,5.4004E-036,-1.08036E-018,2.17359E-035,-62.3784,9.92504E-016,-37.7928,
0.878,-111285,2.5385E-015,38177.8,-1.36163E-036,-1.08036E-018,-2.92016E-035,-62.515,9.92546E-016,-37.9419,
0.879,-111238,2.36942E-015,38726.5,2.46498E-035,3.67666E-019,8.4175E-035,-62.6521,9.92587E-016,-38.0901,
0.88,-111187,2.19993E-015,39275,6.79983E-036,-1.08036E-018,-2.76797E-035,-62.7895,9.92629E-016,-38.2373,
0.881,-111134,2.03002E-015,39823.1,2.7878E-035,3.67666E-019,8.01308E-035,-62.9273,9.9267E-016,-38.3837,
0.882,-111079,1.85973E-015,40370.8,2.59008E-035,3.67666E-019,9.09126E-035,-63.0655,9.9271E-016,-38.5291,
0.883,-111022,1.68904E-015,40918.2,3.00631E-035,3.67666E-019,7.71014E-035,-63.204,9.92751E-016,-38.6736,
0.884,-110962,1.51798E-015,41465.1,7.04111E-036,-1.08036E-018,3.0686E-035,-63.343,9.92791E-016,-38.8172,
0.885,-110899,1.34655E-015,42011.6,3.41619E-036,-1.08036E-018,-2.7599E-035,-63.4822,9.92831E-016,-38.9599,
0.886,-110834,1.17477E-015,42557.8,2.53016E-035,3.67666E-019,1.1065E-034,-63.6219,9.92871E-016,-39.1016,
0.887,-110767,1.00263E-015,43103.4,2.4631E-035,3.67666E-019,5.75356E-035,-63.7619,9.92911E-016,-39.2425,
0.888,-110697,8.30162E-016,43648.6,4.36324E-035,3.67666E-019,5.28492E-035,-63.9022,9.9295E-016,-39.3824,
0.889,-110625,6.57362E-016,44193.3,4.52037E-035,3.67666E-019,9.50589E-035,-64.0429,9.92989E-016,-39.5214,
0.89,-110551,4.84241E-016,44737.6,3.24051E-035,3.67666E-019,1.02427E-034,-64.1838,9.93027E-016,-39.6595,
0.891,-110474,3.10811E-016,45281.3,-5.05317E-036,3.67666E-019,-3.8181E-035,-64.3251,9.93066E-016,-39.7967,
0.892,-110395,1.3708E-016,45824.5,-5.22494E-036,3.67666E-019,-3.81579E-035,-64.4668,9.93104E-016,-39.9329,
0.893,-110314,-3.69414E-017,46367.2,-5.39519E-036,3.67666E-019,-3.81341E-035,-64.6087,9.93141E-016,-40.0683,
0.894,-110230,-2.11245E-016,46909.3,1.27839E-035,3.67666E-019,3.27652E-035,-64.7509,9.93179E-016,-40.2027,
0.895,-110144,-3.8582E-016,47450.9,5.92847E-036,-1.08036E-018,3.29485E-035,-64.8934,9.93216E-016,-40.3362,
0.896,-110055,-5.60658E-016,47991.8,-8.59859E-036,3.67666E-019,2.89774E-035,-65.0361,9.93253E-016,-40.4688,
0.897,-109964,-7.35749E-016,48532.2,-1.04882E-035,3.67666E-019,3.03907E-035,-65.1792,9.93289E-016,-40.6004,
0.898,-109871,-9.11084E-016,49072,-1.33377E-035,3.67666E-019,3.0748E-035,-65.3225,9.93325E-016,-40.7312,
0.899,-109776,-1.08665E-015,49611.1,-1.32025E-035,3.67666E-019,3.08067E-035,-65.466,9.93361E-016,-40.861,
0.9,-109679,-1.26245E-015,50149.6,-1.30673E-035,3.67666E-019,3.08646E-035,-65.6099,9.93397E-016,-40.9899,
0.901,-109579,-1.43846E-015,50687.5,-1.2932E-035,3.67666E-019,3.09219E-035,-65.7539,9.93432E-016,-41.1179,
0.902,-109477,-1.61468E-015,51224.7,-1.27967E-035,3.67666E-019,3.09785E-035,-65.8982,9.93467E-016,-41.245,
0.903,-109372,-1.79109E-015,51761.2,3.1271E-035,-1.08036E-018,7.87296E-035,-66.0427,9.93502E-016,-41.3712,
0.904,-109266,-1.96769E-015,52297,5.71938E-036,-1.08036E-018,-2.43073E-035,-66.1875,9.93537E-016,-41.4965,
0.905,-109157,-2.14447E-015,52832.1,-5.16616E-036,-1.08036E-018,-3.71022E-035,-66.3325,9.93571E-016,-41.6208,
0.906,-109046,-2.32142E-015,53366.5,-5.32637E-036,-1.08036E-018,-3.70797E-035,-66.4776,9.93604E-016,-41.7442,
0.907,-108932,-2.49853E-015,53900.2,1.08164E-035,3.67666E-019,-3.51432E-035,-66.623,9.93638E-016,-41.8668,
0.908,-108817,-2.6758E-015,54433.1,-6.2146E-035,3.67666E-019,-1.15869E-034,-66.7686,9.93671E-016,-41.9884,
0.909,-108699,-2.8532E-015,54965.3,-6.99119E-036,-1.08036E-018,2.63744E-035,-66.9143,9.93704E-016,-42.1091,
0.91,-108579,-3.03074E-015,55496.6,-6.87675E-036,3.67666E-019,2.64041E-035,-67.0603,9.93736E-016,-42.2289,
0.911,-108457,-3.2084E-015,56027.2,7.62268E-036,-1.08036E-018,-3.67092E-035,-67.2064,9.93768E-016,-42.3477,
0.912,-108333,-3.38618E-015,56557,3.76062E-035,3.67666E-019,3.39712E-035,-67.3527,9.938E-016,-42.4657,
0.913,-108207,-3.56406E-015,57086,3.77518E-035,-1.08036E-018,3.38089E-035,-67.4991,9.93832E-016,-42.5828,
0.914,-108079,-3.74204E-015,57614.2,3.78971E-035,3.67666E-019,3.36458E-035,-67.6457,9.93863E-016,-42.6989,
0.915,-107948,-3.9201E-015,58141.5,1.14318E-035,-1.08036E-018,1.59342E-035,-67.7925,9.93894E-016,-42.8142,
0.916,-107815,-4.09825E-015,58668,-7.92663E-035,3.67666E-019,-1.18735E-034,-67.9393,9.93924E-016,-42.9285,
0.917,-107681,-4.27647E-015,59193.6,-6.44351E-035,3.67666E-019,-4.96269E-035,-68.0864,9.93954E-016,-43.042,
0.918,-107544,-4.45475E-015,59718.4,1.48721E-035,3.67666E-019,1.40921E-035,-68.2335,9.93984E-016,-43.1545,
0.919,-107405,-4.63308E-015,60242.3,-7.40492E-035,3.67666E-019,-8.31948E-035,-68.3808,9.94014E-016,-43.2662,
0.92,-107264,-4.81146E-015,60765.2,5.97834E-036,3.67666E-019,-2.49678E-036,-68.5281,9.94043E-016,-43.3769,
0.921,-107121,-4.98987E-015,61287.3,3.39963E-035,3.67666E-019,-2.23018E-035,-68.6756,9.94072E-016,-43.4868,
0.922,-106976,-5.16831E-015,61808.5,3.38988E-035,-1.08036E-018,-2.24458E-035,-68.8232,9.941E-016,-43.5958,
0.923,-106829,-5.34677E-015,62328.7,-2.49909E-035,-1.08036E-018,2.82436E-035,-68.9709,9.94129E-016,-43.7038,
0.924,-106680,-5.52524E-015,62848,-4.26453E-037,-1.08036E-018,1.04873E-035,-69.1186,9.94156E-016,-43.811,
0.925,-106528,-5.70371E-015,63366.3,-9.74747E-036,-1.08036E-018,-3.65768E-036,-69.2665,9.94184E-016,-43.9173,
0.926,-106375,-5.88217E-015,63883.7,-9.31955E-036,-1.08036E-018,-1.8207E-035,-69.4144,9.94211E-016,-44.0227,
0.927,-106220,-6.06062E-015,64400.1,3.82052E-035,3.67666E-019,-2.86374E-035,-69.5624,9.94238E-016,-44.1272,
0.928,-106063,-6.23904E-015,64915.5,4.1459E-037,3.67666E-019,-3.3526E-035,-69.7104,9.94264E-016,-44.2308,
0.929,-105904,-6.41743E-015,65429.9,2.7442E-037,3.67666E-019,-3.35274E-035,-69.8585,9.9429E-016,-44.3336,
0.93,-105743,-6.59579E-015,65943.3,-3.60847E-035,3.67666E-019,-3.57917E-035,-70.0067,9.94316E-016,-44.4354,
0.931,-105580,-6.77409E-015,66455.7,3.55444E-035,3.67666E-019,-3.33977E-035,-70.1549,9.94342E-016,-44.5364,
0.932,-105415,-6.95234E-015,66967.1,3.54043E-035,3.67666E-019,-3.35454E-035,-70.3031,9.94367E-016,-44.6365,
0.933,-105249,-7.13052E-015,67477.4,8.04111E-035,3.67666E-019,4.44873E-035,-70.4514,9.94392E-016,-44.7358,
0.934,-105080,-7.30863E-015,67986.7,3.90955E-035,3.67666E-019,1.45071E-035,-70.5996,9.94416E-016,-44.8341,
0.935,-104910,-7.48666E-015,68494.9,3.91547E-035,3.67666E-019,1.4345E-035,-70.7479,9.9444E-016,-44.9316,
0.936,-104737,-7.66461E-015,69002.1,4.66029E-035,3.67666E-019,1.1207E-034,-70.8963,9.94464E-016,-45.0282,
0.937,-104563,-7.84245E-015,69508.2,4.70655E-035,3.67666E-019,1.11877E-034,-71.0446,9.94487E-016,-45.124,
0.938,-104387,-8.0202E-015,70013.2,-3.28553E-035,3.67666E-019,3.13005E-035,-71.1929,9.9451E-016,-45.2188,
0.939,-104209,-8.19783E-015,70517.1,-1.42646E-035,3.67666E-019,3.8417E-035,-71.3412,9.94533E-016,-45.3129,
0.94,-104029,-8.37534E-015,71019.9,-2.85408E-035,3.67666E-019,-3.98457E-035,-71.4895,9.94555E-016,-45.406,
0.941,-103848,-8.55273E-015,71521.6,-2.80368E-035,-3.56349E-019,3.59691E-035,-71.6378,9.94577E-016,-45.4983,
0.942,-103664,-8.72998E-015,72022.2,-2.78889E-035,-3.56349E-019,3.60834E-035,-71.7861,9.94599E-016,-45.5898,
0.943,-103479,-8.90709E-015,72521.7,1.38728E-035,-3.56349E-019,1.95949E-035,-71.9343,9.9462E-016,-45.6804,
0.944,-103292,-9.08405E-015,73020,-3.43998E-035,-3.56349E-019,-2.92045E-035,-72.0825,9.94641E-016,-45.7701,
0.945,-103104,-9.26085E-015,73517.2,7.77831E-036,-3.56349E-019,-2.7532E-035,-72.2306,9.94662E-016,-45.859,
0.946,-102913,-9.43749E-015,74013.2,8.80488E-035,-1.08036E-018,5.28184E-035,-72.3787,9.94682E-016,-45.947,
0.947,-102721,-9.61396E-015,74508,-2.53279E-035,-3.56349E-019,-9.09274E-036,-72.5268,9.94702E-016,-46.0342,
0.948,-102527,-9.79025E-015,75001.7,3.34746E-035,-3.56349E-019,2.35099E-035,-72.6748,9.94721E-016,-46.1206,
0.949,-102332,-9.96636E-015,75494.2,4.5624E-035,-1.08036E-018,1.12836E-034,-72.8227,9.9474E-016,-46.2061,
0.95,-102135,-0.0000000000000101423,75985.5,6.36584E-035,-1.08036E-018,6.86715E-035,-72.9706,9.94759E-016,-46.2908,
0.951,-101936,-0.000000000000010318,76475.7,-1.57347E-034,-3.56349E-019,-6.70602E-035,-73.1184,9.94778E-016,-46.3747,
0.952,-101735,-0.0000000000000104935,76964.6,-1.47721E-034,-3.56349E-019,-4.33726E-035,-73.2661,9.94796E-016,-46.4577,
0.953,-101533,-0.0000000000000106688,77452.3,-1.2737E-036,-1.08036E-018,-1.06691E-035,-73.4137,9.94814E-016,-46.5399,
0.954,-101329,-0.0000000000000108439,77938.8,6.18383E-036,-1.08036E-018,-1.89179E-035,-73.5612,9.94831E-016,-46.6213,
0.955,-101124,-0.0000000000000110187,78424,4.61064E-036,-1.08036E-018,-3.18672E-035,-73.7086,9.94848E-016,-46.7018,
0.956,-100917,-0.0000000000000111933,78908.1,1.12138E-034,-1.08036E-018,1.04579E-034,-73.856,9.94865E-016,-46.7815,
0.957,-100708,-0.0000000000000113677,79390.9,-1.59142E-035,-3.56349E-019,-3.83311E-035,-74.0032,9.94881E-016,-46.8604,
0.958,-100498,-0.0000000000000115418,79872.4,-1.61492E-035,-3.56349E-019,2.94898E-035,-74.1503,9.94898E-016,-46.9385,
0.959,-100286,-0.0000000000000117157,80352.7,-1.6032E-035,-3.56349E-019,2.95533E-035,-74.2973,9.94913E-016,-47.0158,
0.96,-100072,-0.0000000000000118893,80831.8,3.14744E-035,-1.08036E-018,3.10702E-035,-74.4441,9.94929E-016,-47.0923,
0.961,-99857.4,-0.0000000000000120627,81309.5,-2.9738E-035,-3.56349E-019,1.31296E-035,-74.5909,9.94944E-016,-47.168,
0.962,-99640.9,-0.0000000000000122358,81786,-2.96857E-035,-3.56349E-019,1.32463E-035,-74.7375,9.94958E-016,-47.2428,
0.963,-99422.9,-0.0000000000000124086,82261.3,1.07322E-035,-3.56349E-019,2.70967E-035,-74.8839,9.94973E-016,-47.3169,
0.964,-99203.5,-0.0000000000000125811,82735.2,-2.08615E-035,-1.08036E-018,2.84847E-035,-75.0303,9.94987E-016,-47.3902,
0.965,-98982.5,-0.0000000000000127533,83207.9,9.0459E-035,-1.08036E-018,7.13922E-035,-75.1764,9.95E-016,-47.4627,
0.966,-98760,-0.0000000000000129253,83679.2,-1.23557E-035,-1.08036E-018,-3.96602E-035,-75.3225,9.95014E-016,-47.5343,
0.967,-98536.1,-0.0000000000000130969,84149.3,4.31115E-035,-1.08036E-018,1.02507E-034,-75.4683,9.95027E-016,-47.6053,
0.968,-98310.7,-0.0000000000000132682,84618,1.08662E-034,-3.56349E-019,4.19235E-035,-75.614,9.95039E-016,-47.6754,
0.969,-98083.9,-0.0000000000000134392,85085.4,4.03816E-035,-3.56349E-019,1.01026E-034,-75.7595,9.95052E-016,-47.7447,
0.97,-97855.7,-0.0000000000000136099,85551.5,1.10544E-034,-3.56349E-019,7.64422E-035,-75.9049,9.95064E-016,-47.8133,
0.971,-97626,-0.0000000000000137803,86016.3,7.44016E-035,-3.56349E-019,1.04908E-034,-76.0501,9.95075E-016,-47.8811,
0.972,-97395,-0.0000000000000139503,86479.8,1.39904E-033,2.96521E-015,-9.03478E-032,-76.1951,9.95087E-016,-47.9481,
0.973,-97162.6,-0.00000000000001412,86941.9,1.14758E-033,2.96521E-015,-8.71638E-032,-76.3399,9.95097E-016,-48.0143,
0.974,-96928.8,-0.0000000000000142894,87402.7,3.71822E-034,-3.56349E-019,-1.13654E-032,-76.4845,9.95108E-016,-48.0798,
0.975,-96693.7,-0.0000000000000144584,87862.1,3.80706E-034,2.96521E-015,-1.13654E-032,-76.6289,9.95118E-016,-48.1445,
0.976,-96457.2,-0.0000000000000146271,88320.2,-4.75011E-034,-3.56349E-019,-1.62619E-032,-76.7731,9.95128E-016,-48.2085,
0.977,-96219.4,-0.0000000000000147954,88777,-5.37059E-034,-3.56349E-019,-1.626E-032,-76.9172,9.95138E-016,-48.2717,
0.978,-95980.3,-0.0000000000000149634,89232.4,-5.98699E-034,2.96521E-015,-1.62578E-032,-77.061,9.95147E-016,-48.3341,
0.979,-95739.9,-0.000000000000015131,89686.4,-2.28319E-034,2.96521E-015,-1.87744E-032,-77.2046,9.95156E-016,-48.3958,
0.98,-95498.2,-0.0000000000000152982,90139,1.44365E-033,2.96521E-015,-9.99363E-032,-77.3479,9.95165E-016,-48.4568,
0.981,-95255.2,-0.0000000000000154651,90590.3,1.1108E-034,2.96521E-015,-1.69535E-032,-77.4911,9.95173E-016,-48.517,
0.982,-95011,-0.0000000000000156316,91040.2,5.45447E-034,-3.56349E-019,-1.71444E-032,-77.634,9.95181E-016,-48.5765,
0.983,-94765.5,-0.0000000000000157976,91488.7,4.80951E-034,-3.56349E-019,-1.71463E-032,-77.7767,9.95189E-016,-48.6353,
0.984,-94518.8,-0.0000000000000159634,91935.9,4.16833E-034,-3.56349E-019,-1.7148E-032,-77.9192,9.95196E-016,-48.6933,
0.985,-94270.8,-0.0000000000000161287,92381.7,3.80323E-034,-3.56349E-019,-1.71488E-032,-78.0614,9.95203E-016,-48.7506,
0.986,-94021.7,-0.0000000000000162936,92826,1.63008E-033,2.96521E-015,-9.94604E-032,-78.2033,9.9521E-016,-48.8071,
0.987,-93771.4,-0.0000000000000164581,93269,1.6641E-033,2.96521E-015,-1.00012E-031,-78.3451,9.95216E-016,-48.863,
0.988,-93519.9,-0.0000000000000166222,93710.6,-1.79992E-033,-3.56349E-019,7.35928E-032,-78.4865,9.95222E-016,-48.9181,
0.989,-93267.2,-0.0000000000000167859,94150.8,-5.90894E-034,1.48243E-015,-3.6767E-033,-78.6278,9.95228E-016,-48.9725,
0.99,-93013.4,-0.0000000000000169492,94589.6,-5.2226E-034,1.48243E-015,2.08335E-033,-78.7687,9.95233E-016,-49.0262,
0.991,-92758.4,-0.0000000000000171121,95027,1.28674E-033,1.48243E-015,-7.37514E-032,-78.9094,9.95238E-016,-49.0792,
0.992,-92502.3,-0.0000000000000172745,95462.9,-6.07487E-034,1.48243E-015,1.57398E-032,-79.0498,9.95243E-016,-49.1315,
0.993,-92245.2,-0.0000000000000174365,95897.5,-4.54139E-034,1.48243E-015,2.36304E-032,-79.19,9.95248E-016,-49.1831,
0.994,-91986.9,-0.0000000000000175981,96330.6,1.61341E-034,1.48243E-015,3.22182E-032,-79.3299,9.95252E-016,-49.234,
0.995,-91727.5,-0.0000000000000177593,96762.4,-4.49221E-035,1.48243E-015,-4.08159E-032,-79.4695,9.95256E-016,-49.2842,
0.996,-91467.1,-0.00000000000001792,97192.7,-8.41469E-035,1.48243E-015,-3.08528E-032,-79.6088,9.95259E-016,-49.3337,
0.997,-91205.6,-0.0000000000000180803,97621.6,3.45633E-034,1.48243E-015,-2.02109E-032,-79.7478,9.95262E-016,-49.3825,
0.998,-90943,-0.0000000000000182402,98049,-3.89421E-035,1.48243E-015,-8.89855E-033,-79.8865,9.95265E-016,-49.4307,
0.999,-90679.5,-0.0000000000000183996,98475.1,1.30412E-033,1.48243E-015,-7.92306E-032,-80.025,9.95268E-016,-49.4782,
1,-90414.9,-0.0000000000000185585,98899.7,6.85068E-034,1.48243E-015,-6.10031E-032,-80.1631,9.9527E-016,-49.5249,
