#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,
0.187,-12697,2.17742E-015,-21603,-1.80173E-034,1.8078E-019,-6.28611E-033,-103.74,1.00237E-015,67.8598,,,103.74
0.188,-12609.4,2.19481E-015,-21809.1,-4.09324E-035,-1.65616E-022,2.32604E-034,-103.948,1.0024E-015,67.6521,,,103.948
0.189,-12520.9,2.21214E-015,-22014.4,3.23388E-035,1.8078E-019,-9.3709E-034,-104.151,1.00243E-015,67.4447,,,104.151
0.19,-12431.5,2.2294E-015,-22218.7,1.28044E-034,1.8078E-019,-1.21395E-034,-104.35,1.00247E-015,67.2376,,,104.35
0.191,-12341.2,2.24659E-015,-22422,-1.89432E-034,1.8078E-019,-4.45791E-033,-104.544,1.0025E-015,67.0309,,,104.544
0.192,-12250.1,2.26372E-015,-22624.4,-1.13162E-035,-1.65614E-022,6.84181E-034,-104.733,1.00253E-015,66.8246,,,104.733
0.193,-12158.2,2.28077E-015,-22825.9,2.23788E-035,1.8078E-019,6.81371E-034,-104.918,1.00257E-015,66.6188,,,104.918
0.194,-12065.5,2.29776E-015,-23026.4,2.75981E-035,1.8078E-019,-1.13569E-033,-105.098,1.0026E-015,66.4135,,,105.098
0.195,-11972.1,2.31468E-015,-23226,1.96092E-034,-1.81111E-019,2.17322E-033,-105.273,1.00263E-015,66.2087,,,105.273
0.196,-11878,2.33154E-015,-23424.6,4.14596E-035,1.8078E-019,6.10612E-034,-105.444,1.00267E-015,66.0044,,,105.444
0.197,-11783.1,2.34832E-015,-23622.3,1.91556E-035,-1.65613E-022,-1.25806E-033,-105.611,1.0027E-015,65.8008,,,105.611
0.198,-11687.6,2.36503E-015,-23819.1,4.10539E-037,1.8078E-019,-5.73424E-034,-105.774,1.00273E-015,65.5977,,,105.774
0.199,-11591.4,2.38168E-015,-24014.9,8.96995E-035,-1.81111E-019,2.9427E-033,-105.932,1.00276E-015,65.3953,,,105.932
0.2,-11494.6,2.39825E-015,-24209.8,-4.99766E-036,1.8078E-019,-1.27386E-033,-106.086,1.0028E-015,65.1936,,,106.086
0.201,-11397.3,2.41475E-015,-24403.7,1.12475E-034,-1.81111E-019,1.92601E-033,-106.236,1.00283E-015,64.9927,,,106.236
0.202,-11299.4,2.43118E-015,-24596.8,4.15404E-035,-1.65609E-022,-3.5617E-035,-106.381,1.00286E-015,64.7924,,,106.381
0.203,-11200.9,2.44754E-015,-24788.9,4.17584E-035,-1.65609E-022,-3.5357E-035,-106.523,1.00289E-015,64.5929,,,106.523
0.204,-11101.9,2.46384E-015,-24980.1,-7.24011E-035,-1.6561E-022,5.37007E-034,-106.66,1.00293E-015,64.3942,,,106.66
0.205,-11002.5,2.48006E-015,-25170.4,-7.57105E-035,1.8078E-019,5.36558E-034,-106.794,1.00296E-015,64.1963,,,106.794
0.206,-10902.5,2.49621E-015,-25359.7,-4.58953E-035,1.8078E-019,1.06699E-033,-106.923,1.00299E-015,63.9993,,,106.923
0.207,-10802.2,2.51228E-015,-25548.2,1.6746E-035,1.8078E-019,-9.97741E-034,-107.049,1.00302E-015,63.8031,,,107.049
0.208,-10701.4,2.52829E-015,-25735.7,-7.46713E-035,1.8078E-019,-5.12142E-034,-107.171,1.00305E-015,63.6078,,,107.171
0.209,-10600.3,2.54423E-015,-25922.4,-5.60419E-035,-1.65611E-022,-4.60983E-035,-107.289,1.00309E-015,63.4134,,,107.289
0.21,-10498.7,2.5601E-015,-26108.2,-5.57718E-035,-1.65611E-022,-4.64247E-035,-107.403,1.00312E-015,63.2199,,,107.403
0.211,-10396.9,2.5759E-015,-26293,-1.27856E-035,9.03073E-020,-4.95551E-035,-107.514,1.00315E-015,63.0273,,,107.514
0.212,-10294.7,2.59163E-015,-26477,6.83139E-035,9.03073E-020,-1.13586E-033,-107.621,1.00318E-015,62.8357,,,107.621
0.213,-10192.2,2.60729E-015,-26660.2,3.58122E-035,-1.6561E-022,3.353E-034,-107.724,1.00321E-015,62.6451,,,107.724
0.214,-10089.4,2.62289E-015,-26842.4,-1.26783E-034,9.03073E-020,-2.2359E-033,-107.824,1.00324E-015,62.4555,,,107.824
0.215,-9986.44,2.63841E-015,-27023.8,1.36458E-035,-1.65611E-022,7.48447E-034,-107.92,1.00327E-015,62.2668,,,107.92
0.216,-9883.2,2.65387E-015,-27204.4,-2.38596E-034,9.03073E-020,-2.95656E-033,-108.013,1.0033E-015,62.0792,,,108.013
0.217,-9779.76,2.66926E-015,-27384.1,-2.06924E-034,9.03073E-020,-2.95886E-033,-108.102,1.00333E-015,61.8927,,,108.102
0.218,-9676.13,2.68459E-015,-27562.9,1.32903E-035,-1.6561E-022,-3.91307E-034,-108.188,1.00336E-015,61.7071,,,108.188
0.219,-9572.34,2.69985E-015,-27740.9,-3.41606E-035,-1.6561E-022,1.10703E-034,-108.271,1.00339E-015,61.5227,,,108.271
0.22,-9468.4,2.71504E-015,-27918.1,-1.29295E-035,9.03073E-020,1.09148E-034,-108.35,1.00342E-015,61.3393,,,108.35
0.221,-9364.34,2.73018E-015,-28094.4,5.38799E-035,-1.65611E-022,-1.08776E-033,-108.426,1.00345E-015,61.157,,,108.426
0.222,-9260.18,2.74525E-015,-28270,-1.25578E-035,9.03073E-020,2.72581E-034,-108.499,1.00348E-015,60.9758,,,108.499
0.223,-9155.93,2.76025E-015,-28444.7,-1.09198E-034,9.03073E-020,-2.23643E-033,-108.568,1.00351E-015,60.7957,,,108.568
0.224,-9051.63,2.7752E-015,-28618.7,6.31684E-035,9.03073E-020,3.34435E-034,-108.635,1.00354E-015,60.6167,,,108.635
0.225,-8947.27,2.79009E-015,-28791.8,-1.1895E-035,9.03073E-020,3.6867E-034,-108.698,1.00357E-015,60.4388,,,108.698
0.226,-8842.9,2.80491E-015,-28964.2,5.17684E-035,-1.65611E-022,3.90034E-034,-108.758,1.0036E-015,60.2621,,,108.758
0.227,-8738.52,2.81968E-015,-29135.8,4.98453E-035,-1.65611E-022,3.90285E-034,-108.816,1.00363E-015,60.0865,,,108.816
0.228,-8634.15,2.8344E-015,-29306.6,6.98825E-035,-1.65611E-022,3.89198E-034,-108.87,1.00366E-015,59.912,,,108.87
0.229,-8529.82,2.84905E-015,-29476.6,-4.7392E-036,-1.6561E-022,3.6715E-034,-108.921,1.00368E-015,59.7387,,,108.921
0.23,-8425.53,2.86365E-015,-29646,-6.49314E-036,-1.6561E-022,3.67124E-034,-108.97,1.00371E-015,59.5666,,,108.97
0.231,-8321.32,2.8782E-015,-29814.5,-8.22856E-036,4.50708E-020,3.67089E-034,-109.015,1.00374E-015,59.3956,,,109.015
0.232,-8217.19,2.8927E-015,-29982.4,-3.80549E-037,-1.65609E-022,3.00665E-034,-109.058,1.00377E-015,59.2258,,,109.058
0.233,-8113.16,2.90714E-015,-30149.5,-1.33869E-034,4.50708E-020,-2.78912E-033,-109.098,1.00379E-015,59.0572,,,109.098
0.234,-8009.26,2.92154E-015,-30315.8,-3.74841E-035,4.50708E-020,5.65863E-034,-109.135,1.00382E-015,58.8897,,,109.135
0.235,-7905.5,2.93589E-015,-30481.5,2.17363E-035,4.50708E-020,4.5555E-034,-109.169,1.00385E-015,58.7234,,,109.169
0.236,-7801.89,2.95019E-015,-30646.5,1.30194E-035,4.50708E-020,3.29721E-034,-109.201,1.00388E-015,58.5583,,,109.201
0.237,-7698.45,2.96445E-015,-30810.8,1.69181E-035,-1.65608E-022,1.87255E-034,-109.23,1.0039E-015,58.3944,,,109.23
0.238,-7595.21,2.97866E-015,-30974.4,1.22347E-035,-1.65607E-022,2.95651E-035,-109.257,1.00393E-015,58.2317,,,109.257
0.239,-7492.17,2.99283E-015,-31137.3,1.41716E-035,-1.65607E-022,2.95507E-035,-109.28,1.00395E-015,58.0702,,,109.28
0.24,-7389.35,3.00696E-015,-31299.6,1.40438E-035,4.50708E-020,2.96113E-035,-109.302,1.00398E-015,57.9098,,,109.302
0.241,-7286.76,3.02106E-015,-31461.2,1.60086E-035,-1.65606E-022,-1.7672E-034,-109.32,1.00401E-015,57.7507,,,109.32
0.242,-7184.43,3.03511E-015,-31622.1,2.75242E-035,2.24526E-020,-1.77252E-034,-109.337,1.00403E-015,57.5927,,,109.337
0.243,-7082.37,3.04913E-015,-31782.4,2.82547E-035,-1.65606E-022,-1.77135E-034,-109.351,1.00406E-015,57.436,,,109.351
0.244,-6980.59,3.06312E-015,-31942.1,3.89021E-035,2.24526E-020,-4.33618E-034,-109.362,1.00408E-015,57.2804,,,109.362
0.245,-6879.11,3.07707E-015,-32101.2,-2.60392E-035,-1.65607E-022,5.78514E-034,-109.371,1.00411E-015,57.126,,,109.371
0.246,-6777.94,3.091E-015,-32259.6,-1.09642E-035,-1.65607E-022,2.87387E-034,-109.378,1.00413E-015,56.9728,,,109.378
0.247,-6677.1,3.1049E-015,-32417.5,1.03711E-035,-1.65607E-022,-2.12057E-035,-109.382,1.00415E-015,56.8209,,,109.382
0.248,-6576.61,3.11877E-015,-32574.7,1.0454E-035,-1.65607E-022,-2.11649E-035,-109.384,1.00418E-015,56.6701,,,109.384
0.249,-6476.46,3.13262E-015,-32731.4,1.05359E-035,-1.65607E-022,-2.11243E-035,-109.384,1.0042E-015,56.5204,,,109.384
0.25,-6376.69,3.14644E-015,-32887.5,1.06166E-035,5.48895E-021,-2.10838E-035,-109.381,1.00423E-015,56.372,,,109.381
0.251,-6277.31,3.16025E-015,-33043,1.06963E-035,-1.65607E-022,-2.10435E-035,-109.376,1.00425E-015,56.2248,,,109.376
0.252,-6178.32,3.17404E-015,-33198,9.11309E-035,-1.65607E-022,1.26469E-033,-109.369,1.00427E-015,56.0787,,,109.369
0.253,-6079.74,3.18782E-015,-33352.4,6.10498E-036,-1.65607E-022,-2.06756E-035,-109.36,1.00429E-015,55.9338,,,109.36
0.254,-5981.58,3.20158E-015,-33506.3,8.65364E-035,-1.65607E-022,1.26504E-033,-109.349,1.00432E-015,55.7901,,,109.349
0.255,-5883.87,3.21533E-015,-33659.6,-2.02508E-035,-1.65607E-022,-1.4244E-034,-109.336,1.00434E-015,55.6476,,,109.336
0.256,-5786.6,3.22907E-015,-33812.4,-2.45619E-035,-1.65607E-022,-1.42361E-034,-109.321,1.00436E-015,55.5062,,,109.321
0.257,-5689.8,3.2428E-015,-33964.7,9.61304E-035,-1.65607E-022,3.50567E-034,-109.303,1.00438E-015,55.366,,,109.303
0.258,-5593.47,3.25654E-015,-34116.5,1.02764E-036,-1.65607E-022,1.87354E-034,-109.284,1.0044E-015,55.2269,,,109.284
0.259,-5497.63,3.27027E-015,-34267.8,3.84948E-037,-1.65607E-022,1.87356E-034,-109.262,1.00443E-015,55.089,,,109.262
0.26,-5402.3,3.284E-015,-34418.6,-2.49734E-037,-1.65607E-022,1.87356E-034,-109.239,1.00445E-015,54.9523,,,109.239
0.261,-5307.47,3.29773E-015,-34568.9,-8.76438E-037,-1.65607E-022,1.87355E-034,-109.213,1.00447E-015,54.8167,,,109.213
0.262,-5213.17,3.31147E-015,-34718.8,-1.4952E-036,-1.65607E-022,1.87351E-034,-109.186,1.00449E-015,54.6822,,,109.186
0.263,-5119.41,3.32522E-015,-34868.2,-2.10605E-036,-1.65607E-022,1.87345E-034,-109.157,1.00451E-015,54.5489,,,109.157
0.264,-5026.19,3.33898E-015,-35017.1,-2.70903E-036,-1.65607E-022,1.87337E-034,-109.126,1.00453E-015,54.4167,,,109.126
0.265,-4933.54,3.35276E-015,-35165.6,-3.3042E-036,-1.65607E-022,2.66153E-035,-109.093,1.00455E-015,54.2856,,,109.093
0.266,-4841.45,3.36655E-015,-35313.7,-1.96056E-035,-1.65607E-022,-3.49953E-036,-109.058,1.00457E-015,54.1556,,,109.058
0.267,-4749.95,3.38036E-015,-35461.3,-1.95949E-035,-1.65607E-022,-3.56016E-036,-109.022,1.00458E-015,54.0268,,,109.022
0.268,-4659.04,3.39419E-015,-35608.5,2.05943E-035,-1.65607E-022,6.39229E-034,-108.984,1.0046E-015,53.8991,,,108.984
0.269,-4568.73,3.40805E-015,-35755.3,5.15747E-035,-1.65607E-022,6.39742E-034,-108.943,1.00462E-015,53.7724,,,108.943
0.27,-4479.04,3.42193E-015,-35901.7,9.49524E-036,-1.65607E-022,-2.9556E-036,-108.902,1.00464E-015,53.6469,,,108.902
0.271,-4389.98,3.43585E-015,-36047.7,4.96821E-035,-1.65607E-022,6.39921E-034,-108.858,1.00466E-015,53.5224,,,108.858
0.272,-4301.55,3.4498E-015,-36193.3,7.04995E-036,-1.65607E-022,2.91403E-034,-108.813,1.00467E-015,53.399,,,108.813
0.273,-4213.77,3.46378E-015,-36338.5,6.21904E-036,-1.65607E-022,2.91422E-034,-108.766,1.00469E-015,53.2767,,,108.766
0.274,-4126.65,3.47781E-015,-36483.4,5.39966E-036,-1.65607E-022,2.91438E-034,-108.718,1.00471E-015,53.1554,,,108.718
0.275,-4040.19,3.49187E-015,-36627.8,4.59177E-036,-1.65607E-022,2.91452E-034,-108.667,1.00472E-015,53.0353,,,108.667
0.276,-3954.41,3.50599E-015,-36772,4.39738E-035,-1.65607E-022,9.34312E-034,-108.616,1.00474E-015,52.9161,,,108.616
0.277,-3869.32,3.52015E-015,-36915.8,-8.84403E-036,-1.65607E-022,2.92211E-034,-108.562,1.00476E-015,52.798,,,108.562
0.278,-3784.92,3.53436E-015,-37059.2,-8.61564E-036,-1.65607E-022,7.3878E-035,-108.508,1.00477E-015,52.681,,,108.508
0.279,-3701.23,3.54863E-015,-37202.3,-8.80887E-036,-1.65607E-022,7.38552E-035,-108.451,1.00479E-015,52.5649,,,108.451
0.28,-3618.26,3.56296E-015,-37345.1,-8.99919E-036,-1.65607E-022,7.38323E-035,-108.393,1.0048E-015,52.4499,,,108.393
0.281,-3536.01,3.57735E-015,-37487.6,-9.18662E-036,-1.65607E-022,7.38092E-035,-108.334,1.00482E-015,52.3359,,,108.334
0.282,-3454.5,3.5918E-015,-37629.8,-9.37118E-036,-1.65607E-022,7.3786E-035,-108.273,1.00483E-015,52.2229,,,108.273
0.283,-3373.73,3.60633E-015,-37771.6,-3.1158E-036,-1.65607E-022,-1.33209E-034,-108.21,1.00485E-015,52.1109,,,108.21
0.284,-3293.72,3.62092E-015,-37913.2,-2.79274E-036,-1.65607E-022,-1.33216E-034,-108.146,1.00486E-015,51.9999,,,108.146
0.285,-3214.47,3.63559E-015,-38054.5,-2.47467E-036,-1.65607E-022,-1.33223E-034,-108.081,1.00487E-015,51.8899,,,108.081
0.286,-3135.99,3.65034E-015,-38195.5,-2.16156E-036,-1.65607E-022,-1.33228E-034,-108.014,1.00489E-015,51.7808,,,108.014
0.287,-3058.29,3.66517E-015,-38336.2,1.03854E-035,-1.65607E-022,2.38068E-034,-107.946,1.0049E-015,51.6727,,,107.946
0.288,-2981.38,3.68009E-015,-38476.7,2.1751E-036,-1.65607E-022,-3.83807E-035,-107.876,1.00491E-015,51.5655,,,107.876
0.289,-2905.27,3.69509E-015,-38616.9,2.23506E-035,-1.65607E-022,2.83049E-034,-107.806,1.00492E-015,51.4593,,,107.806
0.29,-2829.96,3.71019E-015,-38756.8,-7.16776E-036,-1.65607E-022,-5.74996E-036,-107.733,1.00493E-015,51.3541,,,107.733
0.291,-2755.47,3.72539E-015,-38896.5,1.29337E-035,-1.65607E-022,3.15659E-034,-107.66,1.00495E-015,51.2497,,,107.66
0.292,-2681.8,3.74068E-015,-39036,-7.82764E-036,-1.65607E-022,-5.73864E-036,-107.585,1.00496E-015,51.1463,,,107.585
0.293,-2608.96,3.75608E-015,-39175.2,2.2289E-036,-1.65607E-022,-5.75502E-036,-107.509,1.00497E-015,51.0438,,,107.509
0.294,-2536.97,3.77159E-015,-39314.2,1.22852E-035,-1.65607E-022,3.15674E-034,-107.431,1.00498E-015,50.9422,,,107.431
0.295,-2465.82,3.78721E-015,-39453,2.73759E-036,-1.65607E-022,1.54026E-034,-107.352,1.00499E-015,50.8415,,,107.352
0.296,-2395.53,3.80294E-015,-39591.6,-4.21536E-037,-1.65607E-022,-1.03056E-035,-107.272,1.005E-015,50.7416,,,107.272
0.297,-2326.1,3.8188E-015,-39730,1.19302E-035,-1.65607E-022,4.6555E-034,-107.191,1.00501E-015,50.6427,,,107.191
0.298,-2257.54,3.83478E-015,-39868.1,-2.31199E-036,-1.65607E-022,-2.28152E-035,-107.108,1.00502E-015,50.5446,,,107.108
0.299,-2189.87,3.85088E-015,-40006.1,-1.10955E-036,-1.65607E-022,-3.12899E-035,-107.025,1.00502E-015,50.4474,,,107.025
0.3,-2123.08,3.86712E-015,-40143.9,-1.05114E-036,-1.65607E-022,-3.12919E-035,-106.94,1.00503E-015,50.351,,,106.94
0.301,-2057.18,3.88349E-015,-40281.5,1.84191E-036,-1.65607E-022,4.06545E-035,-106.854,1.00504E-015,50.2554,,,106.854
0.302,-1992.19,3.9E-015,-40418.9,1.76966E-036,-1.65607E-022,4.06577E-035,-106.766,1.00505E-015,50.1607,,,106.766
0.303,-1928.11,3.91665E-015,-40556.2,1.6988E-036,-1.65607E-022,4.06607E-035,-106.678,1.00505E-015,50.0668,,,106.678
0.304,-1864.95,3.93345E-015,-40693.3,6.65211E-036,-1.65607E-022,2.01376E-034,-106.588,1.00506E-015,49.9737,,,106.588
0.305,-1802.72,3.95041E-015,-40830.2,-1.2185E-036,-1.65607E-022,4.06744E-035,-106.498,1.00507E-015,49.8814,,,106.498
0.306,-1741.41,3.96752E-015,-40967,1.06841E-036,-1.65607E-022,1.04099E-035,-106.406,1.00507E-015,49.7899,,,106.406
0.307,-1681.05,3.98479E-015,-41103.6,4.80628E-037,-1.65607E-022,1.12389E-035,-106.313,1.00508E-015,49.6992,,,106.313
0.308,-1621.63,4.00222E-015,-41240.1,4.62942E-037,-9.06385E-020,1.12396E-035,-106.219,1.00509E-015,49.6092,,,106.219
0.309,-1563.17,4.01982E-015,-41376.5,4.4555E-037,-1.65607E-022,1.12403E-035,-106.124,1.00509E-015,49.52,,,106.124
0.31,-1505.67,4.0376E-015,-41512.7,4.2861E-037,-9.06385E-020,1.12409E-035,-106.027,1.0051E-015,49.4316,,,106.027
0.311,-1449.14,4.05555E-015,-41648.8,-1.59543E-036,-1.65606E-022,6.79238E-035,-105.93,1.0051E-015,49.3439,,,105.93
0.312,-1393.58,4.07369E-015,-41784.8,-4.20394E-036,-9.06385E-020,-9.27907E-035,-105.832,1.0051E-015,49.2569,,,105.832
0.313,-1339.01,4.09201E-015,-41920.6,-6.21762E-036,-9.06385E-020,-1.78617E-034,-105.732,1.00511E-015,49.1707,,,105.732
0.314,-1285.42,4.11052E-015,-42056.4,-4.68214E-036,-9.06385E-020,-1.36983E-034,-105.632,1.00511E-015,49.0852,,,105.632
0.315,-1232.84,4.12923E-015,-42192,-1.48475E-036,-9.06385E-020,-1.86283E-034,-105.531,1.00511E-015,49.0004,,,105.531
0.316,-1181.25,4.14814E-015,-42327.5,1.6663E-037,-9.06385E-020,-4.41208E-036,-105.428,1.00512E-015,48.9162,,,105.428
0.317,-1130.68,4.16726E-015,-42462.9,-5.08151E-037,-9.06385E-020,5.49296E-036,-105.325,1.00512E-015,48.8328,,,105.325
0.318,-1081.12,4.18658E-015,-42598.3,-2.14954E-037,-1.65606E-022,-1.96403E-035,-105.221,1.00512E-015,48.75,,,105.221
0.319,-1032.59,4.20612E-015,-42733.5,4.09956E-037,-9.06385E-020,-1.90617E-035,-105.115,1.00512E-015,48.668,,,105.115
0.32,-985.081,4.22587E-015,-42868.7,4.32441E-037,-1.65606E-022,-1.90612E-035,-105.009,1.00512E-015,48.5865,,,105.009
0.321,-938.613,4.24585E-015,-43003.8,4.54708E-037,-9.06385E-020,-1.90607E-035,-104.902,1.00512E-015,48.5057,,,104.902
0.322,-893.187,4.26606E-015,-43138.8,-1.51789E-037,-1.65606E-022,-1.90602E-035,-104.794,1.00512E-015,48.4256,,,104.794
0.323,-848.811,4.2865E-015,-43273.7,-1.31021E-037,-1.65606E-022,-1.90604E-035,-104.684,1.00512E-015,48.346,,,104.684
0.324,-805.49,4.30718E-015,-43408.5,-1.53829E-037,-9.06385E-020,-1.85741E-035,-104.574,1.00512E-015,48.2671,,,104.574
0.325,-763.232,4.3281E-015,-43543.3,-2.06179E-037,-9.06385E-020,-6.08733E-035,-104.464,1.00512E-015,48.1888,,,104.464
0.326,-722.042,4.34927E-015,-43678,-1.8984E-039,-1.65606E-022,1.31888E-035,-104.352,1.00512E-015,48.1111,,,104.352
0.327,-681.927,4.37069E-015,-43812.7,1.06685E-037,-9.06385E-020,-6.71361E-035,-104.239,1.00512E-015,48.034,,,104.239
0.328,-642.892,4.39236E-015,-43947.3,-4.01517E-038,-9.06385E-020,2.00106E-035,-104.125,1.00512E-015,47.9575,,,104.125
0.329,-604.945,4.41431E-015,-44081.8,4.45697E-038,-1.65607E-022,1.99986E-035,-104.011,1.00511E-015,47.8815,,,104.011
0.33,-568.091,4.43651E-015,-44216.4,-6.00709E-037,9.03073E-020,6.01767E-035,-103.896,1.00511E-015,47.8061,,,103.896
0.331,-532.337,4.45899E-015,-44350.8,9.37046E-037,-9.06385E-020,-3.89066E-035,-103.78,1.00511E-015,47.7313,,,103.78
0.332,-497.689,4.48175E-015,-44485.2,1.22916E-036,-9.06385E-020,-6.0248E-035,-103.663,1.0051E-015,47.657,,,103.663
0.333,-464.152,4.50479E-015,-44619.6,1.29342E-036,-9.06385E-020,-3.27028E-035,-103.545,1.0051E-015,47.5832,,,103.545
0.334,-431.733,4.52812E-015,-44753.9,2.60667E-037,-1.65606E-022,-3.72051E-036,-103.426,1.0051E-015,47.51,,,103.426
0.335,-400.437,4.55174E-015,-44888.2,-1.86938E-038,-1.65606E-022,-3.81445E-036,-103.307,1.00509E-015,47.4372,,,103.307
0.336,-370.272,4.57566E-015,-45022.5,-1.29163E-036,9.03073E-020,2.1975E-035,-103.186,1.00509E-015,47.365,,,103.186
0.337,-341.241,4.59988E-015,-45156.7,-1.50942E-036,9.03073E-020,2.51879E-035,-103.065,1.00508E-015,47.2932,,,103.065
0.338,-313.353,4.62441E-015,-45290.9,-1.54887E-036,9.03073E-020,1.76285E-035,-102.943,1.00507E-015,47.222,,,102.943
0.339,-286.612,4.64926E-015,-45425.1,9.51594E-037,-9.06385E-020,-2.25505E-035,-102.821,1.00507E-015,47.1512,,,102.821
0.34,-261.024,4.67442E-015,-45559.3,1.78905E-036,-9.06385E-020,-2.27613E-035,-102.697,1.00506E-015,47.0809,,,102.697
0.341,-236.595,4.69992E-015,-45693.4,6.36421E-035,-9.06385E-020,-2.14751E-034,-102.573,1.00505E-015,47.011,,,102.573
0.342,-213.331,4.72574E-015,-45827.5,6.37543E-035,-9.06385E-020,-2.14718E-034,-102.448,1.00505E-015,46.9416,,,102.448
0.343,-191.238,4.75189E-015,-45961.6,6.38604E-035,-9.06385E-020,-2.14686E-034,-102.322,1.00504E-015,46.8726,,,102.322
0.344,-170.321,4.77839E-015,-46095.7,6.39603E-035,-9.06385E-020,-2.14656E-034,-102.196,1.00503E-015,46.804,,,102.196
0.345,-150.586,4.80523E-015,-46229.8,6.40542E-035,-9.06385E-020,-2.14628E-034,-102.069,1.00502E-015,46.7359,,,102.069
0.346,-132.038,4.83242E-015,-46363.8,6.4142E-035,-9.06385E-020,-2.14602E-034,-101.941,1.00501E-015,46.6681,,,101.941
0.347,-114.684,4.85997E-015,-46497.9,4.94804E-035,-9.06385E-020,-2.14254E-034,-101.812,1.005E-015,46.6008,,,101.812
0.348,-98.5294,4.88788E-015,-46631.9,4.863E-035,-9.06385E-020,-2.14226E-034,-101.683,1.00499E-015,46.5338,,,101.683
0.349,-83.5789,4.91616E-015,-46765.9,4.86997E-035,-9.06385E-020,-2.1421E-034,-101.553,1.00498E-015,46.4673,,,101.553
0.35,-69.8385,4.94481E-015,-46899.9,4.87635E-035,-9.06385E-020,-2.14195E-034,-101.422,1.00497E-015,46.4011,,,101.422
0.351,-57.3137,4.97384E-015,-47034,-3.07346E-034,-9.06385E-020,-3.03257E-034,-101.29,1.00496E-015,46.3352,,,101.29
0.352,-46.0101,5.00326E-015,-47168,-3.15349E-034,-9.06385E-020,-3.03205E-034,-101.158,1.00495E-015,46.2697,,,101.158
0.353,-35.9331,5.03306E-015,-47302,-3.15283E-034,-9.06385E-020,-3.03273E-034,-101.025,1.00494E-015,46.2046,,,101.025
0.354,-27.0882,5.06326E-015,-47436,-3.15226E-034,-9.06385E-020,-3.03333E-034,-100.892,1.00492E-015,46.1398,,,100.892
0.355,-19.4808,5.09387E-015,-47570,3.27672E-034,-9.06385E-020,4.08389E-032,-100.757,1.00491E-015,46.0753,,,100.757
0.356,-13.1164,5.12488E-015,-47704,3.18015E-034,-9.06385E-020,4.08391E-032,-100.623,1.0049E-015,46.0111,,,100.623
0.357,-8.00032,5.1563E-015,-47838,-7.80848E-036,-9.06385E-020,-3.03176E-034,-100.487,1.00488E-015,45.9472,,,100.487
0.358,-4.13793,5.18814E-015,-47972,-1.14399E-034,-9.06385E-020,-3.29833E-034,-100.351,1.00487E-015,45.8837,,,100.351
0.359,-1.53458,5.22041E-015,-48106,-1.14381E-034,-9.06385E-020,-3.29839E-034,-100.214,1.00485E-015,45.8204,,,100.214
0.36,-0.195597,5.25311E-015,-48240,-1.14372E-034,9.03073E-020,-3.29842E-034,-100.077,1.00484E-015,45.7574,,,100.077
0.361,-0.126277,5.28624E-015,-48374,-1.14372E-034,-1.65607E-022,-3.29842E-034,-99.9384,1.00482E-015,45.6946,,,99.9384
0.362,-1.33189,5.31981E-015,-48508,-1.1438E-034,-1.65607E-022,-3.2984E-034,-99.7997,1.00481E-015,45.6322,,,99.7997
0.363,-3.8177,5.35383E-015,-48642,-1.14397E-034,-1.65607E-022,-3.29834E-034,-99.6603,1.00479E-015,45.5699,,,99.6603
0.364,-7.58893,5.3883E-015,-48776,-6.25668E-035,-1.65607E-022,-3.04381E-034,-99.5204,1.00478E-015,45.5079,,,99.5204
0.365,-12.6508,5.42324E-015,-48910,-6.25982E-035,-1.65607E-022,-3.04374E-034,-99.3798,1.00476E-015,45.4462,,,99.3798
0.366,-19.0084,5.45863E-015,-49044,-6.04076E-035,-1.65607E-022,-3.04296E-034,-99.2386,1.00474E-015,45.3846,,,99.2386
0.367,-26.6671,5.4945E-015,-49178,-6.04546E-035,-1.65607E-022,-3.04287E-034,-99.0969,1.00472E-015,45.3233,,,99.0969
0.368,-35.6318,5.53085E-015,-49312,-6.05095E-035,-1.65607E-022,-3.04276E-034,-98.9545,1.00471E-015,45.2622,,,98.9545
0.369,-45.9078,5.56767E-015,-49446,-6.05721E-035,-1.65607E-022,-3.04264E-034,-98.8116,1.00469E-015,45.2013,,,98.8116
0.37,-57.5002,5.60499E-015,-49580,-6.06425E-035,-1.65607E-022,-3.0425E-034,-98.668,1.00467E-015,45.1405,,,98.668
0.371,-70.4139,5.64279E-015,-49714,-4.98514E-035,-1.65607E-022,-3.04127E-034,-98.5239,1.00465E-015,45.08,,,98.5239
0.372,-84.6541,5.6811E-015,-49847.9,-5.11138E-035,-1.65607E-022,-3.04109E-034,-98.3792,1.00463E-015,45.0196,,,98.3792
0.373,-100.226,5.71992E-015,-49981.9,2.91489E-035,-1.65607E-022,-3.04094E-034,-98.234,1.00461E-015,44.9594,,,98.234
0.374,-117.134,5.75924E-015,-50115.9,-3.70594E-035,-1.14747E-020,-3.03986E-034,-98.0882,1.00459E-015,44.8993,,,98.0882
0.375,-135.384,5.79908E-015,-50249.8,-1.17546E-034,3.37617E-020,-8.24045E-032,-97.9419,1.00457E-015,44.8394,,,97.9419
0.376,-154.98,5.83945E-015,-50383.8,-9.91006E-037,3.37617E-020,2.67251E-036,-97.795,1.00455E-015,44.7796,,,97.795
