#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,
0.037,-3181.1,5.57265E-017,3802.94,1.96668E-035,-1.65648E-022,7.81308E-035,-12.4694,9.99859E-016,43.6861,,,12.4694
0.038,-3337.57,5.92743E-017,3845.66,1.81549E-035,9.03072E-020,7.84858E-035,-13.1031,9.99854E-016,44.6822,,,13.1031
0.039,-3496.42,6.29639E-017,3884.09,7.20249E-035,9.03072E-020,-5.55927E-034,-13.7487,9.99848E-016,45.6649,,,13.7487
0.04,-3657.53,6.6798E-017,3918.17,-6.69566E-035,9.03072E-020,9.74819E-035,-14.4059,9.99842E-016,46.6339,,,14.4059
0.041,-3820.78,7.07796E-017,3947.87,6.13908E-035,-1.65644E-022,7.49838E-034,-15.0742,9.99837E-016,47.5891,,,15.0742
0.042,-3986.06,7.49113E-017,3973.12,4.79172E-035,-1.65644E-022,7.5082E-034,-15.7534,9.99831E-016,48.5303,,,15.7534
0.043,-4153.24,7.91958E-017,3993.9,3.44487E-035,-1.65644E-022,7.51558E-034,-16.4431,9.99826E-016,49.4573,,,16.4431
0.044,-4322.19,8.3636E-017,4010.17,2.10101E-035,-1.65644E-022,7.52054E-034,-17.143,9.9982E-016,50.3701,,,17.143
0.045,-4492.8,8.82343E-017,4021.9,7.6066E-036,-1.65644E-022,7.52309E-034,-17.8527,9.99815E-016,51.2683,,,17.8527
0.046,-4664.94,9.29934E-017,4029.05,-5.02988E-035,9.03072E-020,-1.14737E-033,-18.5717,9.9981E-016,52.152,,,18.5717
0.047,-4838.48,9.79158E-017,4031.61,5.1155E-035,9.03072E-020,-4.71505E-034,-19.2999,9.99805E-016,53.021,,,19.2999
0.048,-5013.32,1.03004E-016,4029.55,-5.35447E-035,1.8078E-019,2.11467E-034,-20.0368,9.998E-016,53.8752,,,20.0368
0.049,-5189.31,1.0826E-016,4022.86,-4.11587E-035,-1.65641E-022,8.9841E-034,-20.7821,9.99795E-016,54.7145,,,20.7821
0.05,-5366.35,1.13687E-016,4011.52,-3.25563E-035,1.8078E-019,9.09585E-034,-21.5353,9.99791E-016,55.5388,,,21.5353
0.051,-5544.3,1.19287E-016,3995.53,6.93991E-035,1.8078E-019,-9.61096E-034,-22.2963,9.99786E-016,56.348,,,22.2963
0.052,-5723.06,1.25061E-016,3974.87,1.6428E-035,1.8078E-019,-2.50796E-034,-23.0645,9.99782E-016,57.142,,,23.0645
0.053,-5902.49,1.31013E-016,3949.55,-7.39559E-035,1.8078E-019,4.6652E-034,-23.8396,9.99778E-016,57.9208,,,23.8396
0.054,-6082.49,1.37144E-016,3919.57,-3.93994E-035,1.8078E-019,1.19074E-033,-24.6213,9.99775E-016,58.6843,,,24.6213
0.055,-6262.93,1.43456E-016,3884.93,-3.88556E-035,1.8078E-019,-6.4686E-034,-25.4092,9.99771E-016,59.4326,,,25.4092
0.056,-6443.69,1.4995E-016,3845.63,-2.61449E-035,-1.65641E-022,9.67926E-035,-26.2031,9.99768E-016,60.1654,,,26.2031
0.057,-6624.66,1.5663E-016,3801.7,-2.77945E-035,-1.65641E-022,9.63318E-035,-27.0024,9.99765E-016,60.883,,,27.0024
0.058,-6805.73,1.63495E-016,3753.14,-2.94296E-035,-1.65641E-022,9.5845E-035,-27.8069,9.99762E-016,61.5851,,,27.8069
0.059,-6986.78,1.70549E-016,3699.97,-3.10497E-035,-1.65641E-022,9.53324E-035,-28.6162,9.9976E-016,62.2718,,,28.6162
0.06,-7167.7,1.77791E-016,3642.21,-3.26545E-035,-1.65641E-022,9.47948E-035,-29.43,9.99757E-016,62.9432,,,29.43
0.061,-7348.38,1.85225E-016,3579.89,5.60722E-035,1.8078E-019,8.94063E-034,-30.248,9.99755E-016,63.5991,,,30.248
0.062,-7528.71,1.9285E-016,3513.02,-3.80415E-035,1.8078E-019,-8.64109E-034,-31.0698,9.99754E-016,64.2398,,,31.0698
0.063,-7708.59,2.00668E-016,3441.65,5.14623E-035,-1.65635E-022,-3.9163E-035,-31.895,9.99753E-016,64.865,,,31.895
0.064,-7887.91,2.0868E-016,3365.8,5.21053E-035,1.8078E-019,-3.83033E-035,-32.7234,9.99752E-016,65.475,,,32.7234
0.065,-8066.57,2.16887E-016,3285.51,7.42844E-035,-1.65635E-022,-2.13859E-035,-33.5547,9.99751E-016,66.0698,,,33.5547
0.066,-8244.46,2.2529E-016,3200.81,-4.3955E-035,1.8078E-019,8.31199E-034,-34.3884,9.9975E-016,66.6493,,,34.3884
0.067,-8421.49,2.3389E-016,3111.74,-1.6195E-035,1.8078E-019,4.1082E-034,-35.2243,9.9975E-016,67.2137,,,35.2243
0.068,-8597.57,2.42687E-016,3018.34,4.57312E-035,1.8078E-019,2.26754E-035,-36.0621,9.99751E-016,67.763,,,36.0621
0.069,-8772.58,2.51681E-016,2920.67,4.49425E-035,3.61726E-019,2.34377E-035,-36.9015,9.99752E-016,68.2974,,,36.9015
0.07,-8946.45,2.60873E-016,2818.76,-3.66264E-035,3.61726E-019,-3.31593E-034,-37.7421,9.99753E-016,68.8167,,,37.7421
0.071,-9119.08,2.70263E-016,2712.66,5.656E-035,-1.65625E-022,6.14473E-034,-38.5837,9.99754E-016,69.3213,,,38.5837
0.072,-9290.39,2.79852E-016,2602.43,-1.59759E-035,3.61726E-019,2.93296E-034,-39.4259,9.99756E-016,69.8111,,,39.4259
0.073,-9460.28,2.89639E-016,2488.11,-7.12101E-035,3.61726E-019,-1.15223E-035,-40.2686,9.99758E-016,70.2863,,,40.2686
0.074,-9628.67,2.99624E-016,2369.76,-3.25308E-035,-1.65618E-022,4.32929E-036,-41.1113,9.99761E-016,70.7469,,,41.1113
0.075,-9795.48,3.09807E-016,2247.44,-3.30507E-035,-1.65618E-022,3.83588E-036,-41.9539,9.99764E-016,71.193,,,41.9539
0.076,-9960.64,3.20188E-016,2121.2,1.07242E-035,3.61726E-019,2.03346E-035,-42.796,9.99767E-016,71.6249,,,42.796
0.077,-10124.1,3.30766E-016,1991.11,-1.99737E-035,3.61726E-019,-2.27341E-034,-43.6374,9.99771E-016,72.0425,,,43.6374
0.078,-10285.7,3.41541E-016,1857.22,3.3251E-035,3.61726E-019,-2.10628E-034,-44.4778,9.99775E-016,72.4461,,,44.4778
0.079,-10445.4,3.52512E-016,1719.59,-6.25476E-035,3.61726E-019,-4.01999E-034,-45.317,9.9978E-016,72.8357,,,45.317
0.08,-10603.2,3.63678E-016,1578.3,3.05434E-035,3.61726E-019,-5.74882E-034,-46.1547,9.99785E-016,73.2115,,,46.1547
0.081,-10758.9,3.75038E-016,1433.39,-1.68128E-034,-3.62057E-019,-7.2607E-034,-46.9907,9.9979E-016,73.5737,,,46.9907
0.082,-10912.6,3.86592E-016,1284.95,-3.67045E-037,-1.65622E-022,-1.14573E-034,-47.8247,9.99796E-016,73.9223,,,47.8247
0.083,-11064.1,3.98339E-016,1133.03,-9.92699E-035,-3.62057E-019,-7.89419E-034,-48.6565,9.99802E-016,74.2575,,,48.6565
0.084,-11213.5,4.10276E-016,977.709,-1.11632E-034,-3.62057E-019,-8.43732E-034,-49.4858,9.99809E-016,74.5795,,,49.4858
0.085,-11360.5,4.22404E-016,819.046,-9.31164E-035,-3.62057E-019,-9.29817E-034,-50.3126,9.99816E-016,74.8884,,,50.3126
0.086,-11505.2,4.3472E-016,657.115,1.94377E-035,3.61726E-019,-1.08057E-034,-51.1364,9.99824E-016,75.1844,,,51.1364
0.087,-11647.6,4.47223E-016,491.985,-5.2357E-035,-3.62057E-019,-2.43864E-034,-51.9572,9.99832E-016,75.4676,,,51.9572
0.088,-11787.6,4.59911E-016,323.727,3.16E-035,-1.65618E-022,7.6815E-035,-52.7747,9.9984E-016,75.7382,,,52.7747
0.089,-11925,4.72783E-016,152.411,3.04693E-035,-1.65618E-022,-3.08555E-036,-53.5888,9.99849E-016,75.9964,,,53.5888
0.09,-12060,4.85837E-016,-21.8892,3.05111E-035,-1.65618E-022,-2.64053E-036,-54.3991,9.99859E-016,76.2423,,,54.3991
0.091,-12192.4,4.99071E-016,-199.103,-9.6057E-036,-1.65618E-022,-2.19744E-036,-55.2056,9.99869E-016,76.4761,,,55.2056
0.092,-12322.2,5.12483E-016,-379.158,3.00703E-035,3.61726E-019,-1.63031E-034,-56.0081,9.99879E-016,76.698,,,56.0081
0.093,-12449.3,5.26072E-016,-561.982,1.66187E-035,-1.65618E-022,1.08603E-034,-56.8064,9.9989E-016,76.9081,,,56.8064
0.094,-12573.8,5.39834E-016,-747.501,4.79615E-035,3.61726E-019,-7.38689E-034,-57.6003,9.99901E-016,77.1067,,,57.6003
0.095,-12695.6,5.53768E-016,-935.642,-1.83136E-036,3.61726E-019,-9.50864E-035,-58.3897,9.99913E-016,77.2938,,,58.3897
0.096,-12814.6,5.67872E-016,-1126.33,2.28021E-035,3.61726E-019,-5.68764E-034,-59.1744,9.99925E-016,77.4698,,,59.1744
0.097,-12930.9,5.82142E-016,-1319.5,6.11439E-036,3.61726E-019,-5.6222E-034,-59.9543,9.99937E-016,77.6347,,,59.9543
0.098,-13044.3,5.96578E-016,-1515.07,-5.15285E-037,3.61726E-019,-1.20317E-034,-60.7291,9.9995E-016,77.7888,,,60.7291
0.099,-13154.9,6.11176E-016,-1712.98,6.56517E-037,3.61726E-019,1.11704E-034,-61.4989,9.99964E-016,77.9322,,,61.4989
0.1,-13262.7,6.25933E-016,-1913.14,-8.16223E-036,3.61726E-019,3.79982E-034,-62.2633,9.99978E-016,78.0651,,,62.2633
0.101,-13367.6,6.40847E-016,-2115.48,-9.87837E-037,-1.65618E-022,-6.14853E-034,-63.0224,9.99992E-016,78.1877,,,63.0224
0.102,-13469.7,6.55916E-016,-2319.94,-4.86044E-036,3.61726E-019,-6.02159E-034,-63.776,1.00001E-015,78.3002,,,63.776
0.103,-13568.8,6.71137E-016,-2526.45,-1.2591E-035,3.61726E-019,-2.78314E-034,-64.5239,1.00002E-015,78.4027,,,64.5239
0.104,-13665,6.86506E-016,-2734.92,-1.13841E-035,3.61726E-019,-2.6643E-034,-65.2661,1.00004E-015,78.4955,,,65.2661
0.105,-13758.3,7.02021E-016,-2945.29,7.48663E-035,-3.62057E-019,1.03085E-033,-66.0024,1.00005E-015,78.5788,,,66.0024
0.106,-13848.6,7.1768E-016,-3157.5,1.15568E-034,-3.62057E-019,1.43483E-033,-66.7328,1.00007E-015,78.6526,,,66.7328
0.107,-13936,7.33478E-016,-3371.46,1.09614E-034,-3.62057E-019,1.44725E-033,-67.4572,1.00009E-015,78.7173,,,67.4572
0.108,-14020.4,7.49414E-016,-3587.11,-1.85371E-035,3.61726E-019,4.15686E-034,-68.1754,1.0001E-015,78.7729,,,68.1754
0.109,-14101.8,7.65484E-016,-3804.39,-2.53898E-035,3.61726E-019,-4.14937E-034,-68.8873,1.00012E-015,78.8197,,,68.8873
0.11,-14180.3,7.81685E-016,-4023.21,4.08571E-035,-3.62057E-019,1.34785E-033,-69.593,1.00014E-015,78.8579,,,69.593
0.111,-14255.8,7.98014E-016,-4243.53,-1.20007E-035,-1.65629E-022,5.57929E-034,-70.2922,1.00016E-015,78.8876,,,70.2922
0.112,-14328.3,8.14467E-016,-4465.26,-1.82045E-034,3.61726E-019,-2.01193E-033,-70.985,1.00018E-015,78.909,,,70.985
0.113,-14397.9,8.31042E-016,-4688.35,-3.06536E-035,-1.65625E-022,1.5495E-034,-71.6712,1.0002E-015,78.9223,,,71.6712
0.114,-14464.5,8.47736E-016,-4912.72,1.47764E-035,3.61726E-019,1.63128E-034,-72.3509,1.00022E-015,78.9277,,,72.3509
0.115,-14528.1,8.64545E-016,-5138.32,6.48023E-035,-1.65625E-022,1.71527E-034,-73.0239,1.00024E-015,78.9254,,,73.0239
0.116,-14588.8,8.81466E-016,-5365.08,6.26495E-035,-1.65625E-022,1.72321E-034,-73.6902,1.00026E-015,78.9155,,,73.6902
0.117,-14646.5,8.98495E-016,-5592.94,7.71641E-035,-1.65627E-022,-4.88956E-034,-74.3497,1.00028E-015,78.8982,,,74.3497
0.118,-14701.2,9.1563E-016,-5821.83,-7.75455E-035,-1.65627E-022,-4.87971E-034,-75.0024,1.0003E-015,78.8737,,,75.0024
0.119,-14753,9.32867E-016,-6051.7,-7.15834E-035,-1.65627E-022,-4.88881E-034,-75.6482,1.00032E-015,78.8421,,,75.6482
0.12,-14801.9,9.50203E-016,-6282.48,-6.56507E-035,-1.65627E-022,-4.89713E-034,-76.2871,1.00035E-015,78.8037,,,76.2871
0.121,-14847.9,9.67634E-016,-6514.12,-5.97483E-035,-1.65627E-022,-4.90468E-034,-76.9192,1.00037E-015,78.7586,,,76.9192
0.122,-14891,9.85158E-016,-6746.56,-5.38773E-035,-1.65627E-022,-4.91148E-034,-77.5442,1.00039E-015,78.707,,,77.5442
0.123,-14931.2,1.00277E-015,-6979.73,-4.80386E-035,-1.65627E-022,-4.91753E-034,-78.1622,1.00041E-015,78.649,,,78.1622
0.124,-14968.5,1.02047E-015,-7213.6,-4.2233E-035,-1.65627E-022,-4.92286E-034,-78.7733,1.00044E-015,78.5849,,,78.7733
0.125,-15002.9,1.03825E-015,-7448.09,9.57555E-035,-1.65627E-022,2.08043E-033,-79.3772,1.00046E-015,78.5147,,,79.3772
0.126,-15034.6,1.05611E-015,-7683.16,1.76651E-035,-1.65627E-022,-1.12875E-033,-79.9742,1.00049E-015,78.4386,,,79.9742
0.127,-15063.4,1.07404E-015,-7918.75,3.07085E-035,-1.65627E-022,-1.12847E-033,-80.564,1.00051E-015,78.3568,,,80.564
0.128,-15089.4,1.09205E-015,-8154.81,1.26324E-034,-1.65627E-022,2.65985E-033,-81.1468,1.00054E-015,78.2695,,,81.1468
0.129,-15112.6,1.11012E-015,-8391.29,2.95436E-035,-1.65627E-022,1.27611E-033,-81.7224,1.00056E-015,78.1768,,,81.7224
0.13,-15133.1,1.12826E-015,-8628.13,1.51012E-035,-1.65627E-022,1.27636E-033,-82.291,1.00059E-015,78.0789,,,82.291
0.131,-15150.9,1.14647E-015,-8865.3,7.5873E-037,-1.65627E-022,1.27645E-033,-82.8524,1.00061E-015,77.9758,,,82.8524
0.132,-15165.9,1.16473E-015,-9102.74,-1.34822E-035,-1.65627E-022,1.27638E-033,-83.4068,1.00064E-015,77.8679,,,83.4068
0.133,-15178.3,1.18305E-015,-9340.41,-2.76202E-035,-1.65627E-022,1.27615E-033,-83.954,1.00067E-015,77.7552,,,83.954
0.134,-15188,1.20142E-015,-9578.26,2.79771E-034,-1.65627E-022,3.84717E-033,-84.4942,1.00069E-015,77.6378,,,84.4942
0.135,-15195.1,1.21984E-015,-9816.24,9.84671E-035,-1.65627E-022,-2.9462E-034,-85.0272,1.00072E-015,77.516,,,85.0272
0.136,-15199.5,1.2383E-015,-10054.3,2.11916E-035,-1.65627E-022,6.78655E-034,-85.5532,1.00075E-015,77.3898,,,85.5532
0.137,-15201.4,1.25681E-015,-10292.4,1.38867E-035,-1.65627E-022,6.78843E-034,-86.0721,1.00077E-015,77.2594,,,86.0721
0.138,-15200.7,1.27536E-015,-10530.6,6.63335E-036,-1.65627E-022,6.78953E-034,-86.584,1.0008E-015,77.1249,,,86.584
0.139,-15197.5,1.29394E-015,-10768.7,3.20856E-034,-1.65627E-022,3.25038E-033,-87.0888,1.00083E-015,76.9865,,,87.0888
0.14,-15191.8,1.31256E-015,-11006.7,-8.86966E-035,-1.65627E-022,-1.04283E-033,-87.5866,1.00086E-015,76.8443,,,87.5866
0.141,-15183.6,1.33121E-015,-11244.6,-7.77937E-035,-1.65627E-022,-1.0437E-033,-88.0774,1.00089E-015,76.6985,,,88.0774
0.142,-15173,1.34989E-015,-11482.3,-6.69629E-035,-1.65627E-022,-1.04445E-033,-88.5612,1.00092E-015,76.5491,,,88.5612
0.143,-15160,1.36859E-015,-11719.9,-4.61749E-035,-1.65627E-022,-1.04595E-033,-89.0381,1.00095E-015,76.3963,,,89.0381
0.144,-15144.6,1.38731E-015,-11957.3,-3.54832E-035,-1.65627E-022,-1.04637E-033,-89.508,1.00098E-015,76.2402,,,89.508
0.145,-15126.9,1.40605E-015,-12194.4,-2.48678E-035,-1.65627E-022,-1.04668E-033,-89.9711,1.00101E-015,76.0809,,,89.9711
0.146,-15106.8,1.42481E-015,-12431.2,-1.43296E-035,-1.65627E-022,-1.04687E-033,-90.4273,1.00104E-015,75.9187,,,90.4273
0.147,-15084.5,1.44358E-015,-12667.7,-3.86933E-036,-1.65627E-022,-1.04697E-033,-90.8766,1.00107E-015,75.7535,,,90.8766
0.148,-15059.9,1.46236E-015,-12903.8,6.51218E-036,-1.65627E-022,-1.04695E-033,-91.3192,1.0011E-015,75.5855,,,91.3192
0.149,-15033.1,1.48114E-015,-13139.6,1.68142E-035,-1.65627E-022,-1.04684E-033,-91.755,1.00113E-015,75.4148,,,91.755
0.15,-15004.1,1.49993E-015,-13374.9,2.70361E-035,-1.65627E-022,-1.04662E-033,-92.184,1.00116E-015,75.2415,,,92.184
0.151,-14972.9,1.51873E-015,-13609.8,3.81307E-034,-1.65627E-022,1.52367E-033,-92.6064,1.00119E-015,75.0658,,,92.6064
0.152,-14939.6,1.53752E-015,-13844.2,4.52137E-035,-1.65627E-022,1.52727E-033,-93.0221,1.00122E-015,74.8877,,,93.0221
0.153,-14904.3,1.5563E-015,-14078.2,3.06385E-035,-1.65627E-022,1.52763E-033,-93.4312,1.00125E-015,74.7073,,,93.4312
0.154,-14866.8,1.57509E-015,-14311.6,1.61733E-035,-1.65627E-022,1.52785E-033,-93.8337,1.00128E-015,74.5249,,,93.8337
0.155,-14827.4,1.59386E-015,-14544.5,1.81896E-036,-1.65627E-022,1.52794E-033,-94.2297,1.00131E-015,74.3403,,,94.2297
0.156,-14785.9,1.61262E-015,-14776.8,-1.24236E-035,-1.65627E-022,1.52789E-033,-94.6192,1.00134E-015,74.1538,,,94.6192
0.157,-14742.6,1.63137E-015,-15008.5,-2.65536E-035,-1.65627E-022,-1.04369E-033,-95.0022,1.00138E-015,73.9655,,,95.0022
0.158,-14697.2,1.6501E-015,-15239.6,-1.71634E-035,3.61726E-019,-1.04386E-033,-95.3789,1.00141E-015,73.7754,,,95.3789
0.159,-14650,1.66882E-015,-15470,-7.59418E-035,-1.65627E-022,6.59401E-035,-95.7492,1.00144E-015,73.5837,,,95.7492
0.16,-14601,1.68751E-015,-15699.8,1.55791E-034,3.61726E-019,1.17137E-033,-96.1131,1.00147E-015,73.3904,,,96.1131
0.161,-14550.1,1.70618E-015,-15929,3.58669E-035,3.61726E-019,-2.96741E-034,-96.4709,1.00151E-015,73.1956,,,96.4709
0.162,-14497.4,1.72483E-015,-16157.4,3.83943E-035,-1.65623E-022,-2.96397E-034,-96.8224,1.00154E-015,72.9994,,,96.8224
0.163,-14443,1.74344E-015,-16385.1,-1.07881E-034,-1.65622E-022,7.96336E-034,-97.1677,1.00157E-015,72.8019,,,97.1677
0.164,-14386.9,1.76203E-015,-16612.1,-1.07899E-034,-1.65622E-022,7.9421E-034,-97.5069,1.0016E-015,72.6032,,,97.5069
0.165,-14329,1.78059E-015,-16838.4,-1.05917E-034,-1.65622E-022,7.9196E-034,-97.8401,1.00164E-015,72.4034,,,97.8401
0.166,-14269.6,1.79911E-015,-17063.9,-4.61963E-035,3.61726E-019,-7.01334E-034,-98.1672,1.00167E-015,72.2024,,,98.1672
