Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,,,Load Mag,Wx,Wz,,Wz_1280Cvs,Wz_20CVs,Wx_20CVs,,Reference,results,from,Simo,Paper
0.245,-7180.57,-0.0000000000000154425,-32035.1,3.52615E-035,-1.22486E-020,2.89789E-034,-109.241,1.04633E-015,57.4304,,,,32.8299896060736,109.241,57.4304,,57.0223,57.126,109.371,,,,,,
0.246,-7079.57,-0.0000000000000156248,-32194.8,-1.89766E-034,1.03697E-020,-2.01724E-033,-109.254,1.04647E-015,57.2787,,,,32.9640024636709,109.254,57.2787,,56.8686,56.9728,109.378,,,,,,
0.247,-6978.85,-0.0000000000000158079,-32353.9,-2.72586E-034,1.03697E-020,-2.12684E-033,-109.264,1.04661E-015,57.1282,,,,33.0980239974005,109.264,57.1282,,56.7161,56.8209,109.382,,,,,,
0.248,-6878.42,-0.0000000000000159919,-32512.4,-3.01477E-034,1.03697E-020,-2.24433E-033,-109.272,1.04675E-015,56.9788,,,,33.2320450086419,109.272,56.9788,,56.5648,56.6701,109.384,,,,,,
0.249,-6778.31,-0.0000000000000161767,-32670.2,3.03717E-034,-1.22486E-020,2.77154E-033,-109.278,1.04689E-015,56.8307,,,,33.3659625141565,109.278,56.8307,,56.4147,56.5204,109.384,,,,,,
0.25,-6678.53,-0.0000000000000163624,-32827.5,-4.68316E-034,1.03697E-020,-2.55356E-033,-109.282,1.04703E-015,56.6836,,,,33.4999629732766,109.282,56.6836,,56.2659,56.372,109.381,,,,,,
0.251,-6579.08,-0.000000000000016549,-32984.3,1.01042E-034,-1.22486E-020,2.49935E-034,-109.283,1.04717E-015,56.5377,,,,33.6340354423373,109.283,56.5377,,56.1182,56.2248,109.376,,,,,,
0.252,-6479.98,-0.0000000000000167364,-33140.4,-1.37761E-034,-9.39441E-022,1.78186E-034,-109.282,1.04731E-015,56.393,,,,33.7679767377378,109.282,56.393,,55.9717,56.0787,109.369,,,,,,
0.253,-6381.24,-0.0000000000000169247,-33296,3.99568E-034,-1.22486E-020,2.22255E-033,-109.279,1.04744E-015,56.2494,,,,33.9019739829055,109.279,56.2494,,55.8263,55.9338,109.36,,,,,,
0.254,-6282.89,-0.0000000000000171138,-33451.1,6.6696E-035,-1.22486E-020,-3.47054E-034,-109.274,1.04758E-015,56.1069,,,,34.0360220643086,109.274,56.1069,,55.6822,55.7901,109.349,,,,,,
0.255,-6184.93,-0.0000000000000173038,-33605.6,-7.80063E-035,-9.39441E-022,-1.10744E-033,-109.267,1.04772E-015,55.9656,,,,34.1700118593029,109.267,55.9656,,55.5393,55.6476,109.336,,,,,,
0.256,-6087.37,-0.0000000000000174947,-33759.6,-7.40092E-035,-9.39441E-022,-1.10771E-033,-109.258,1.04786E-015,55.8255,,,,34.3040327902843,109.258,55.8255,,55.3975,55.5062,109.321,,,,,,
0.257,-5990.22,-0.0000000000000176864,-33913,1.81606E-034,-9.39441E-022,3.04746E-033,-109.247,1.04799E-015,55.6865,,,,34.4379776503848,109.247,55.6865,,55.2569,55.366,109.303,,,,,,
0.258,-5893.51,-0.000000000000017879,-34066,1.01525E-035,-1.17402E-023,4.76682E-034,-109.233,1.04813E-015,55.5486,,,,34.5720380672025,109.233,55.5486,,55.1174,55.2269,109.284,,,,,,
0.259,-5797.24,-0.0000000000000180725,-34218.4,-6.42405E-035,-1.17403E-023,5.41798E-034,-109.218,1.04827E-015,55.4118,,,,34.7060065432138,109.218,55.4118,,54.9792,55.089,109.262,,,,,,
0.26,-5701.42,-0.0000000000000182669,-34370.3,-6.61039E-035,-1.17403E-023,5.41574E-034,-109.201,1.04841E-015,55.2762,,,,34.8399729062237,109.201,55.2762,,54.8421,54.9523,109.239,,,,,,
0.261,-5606.08,-0.0000000000000184621,-34521.8,-6.79439E-035,-1.17403E-023,5.41346E-034,-109.181,1.04854E-015,55.1416,,,,34.9740304827225,109.181,55.1416,,54.7061,54.8167,109.213,,,,,,
0.262,-5511.2,-0.0000000000000186581,-34672.7,-3.96346E-035,5.64281E-021,2.66472E-034,-109.16,1.04868E-015,55.0082,,,,35.1079684791074,109.16,55.0082,,54.5713,54.6822,109.186,,,,,,
0.263,-5416.82,-0.0000000000000188551,-34823.2,-3.60808E-035,5.64281E-021,-1.1968E-034,-109.137,1.04882E-015,54.8759,,,,35.2419806076844,109.137,54.8759,,54.4376,54.5489,109.157,,,,,,
0.264,-5322.94,-0.0000000000000190529,-34973.2,-3.56888E-035,5.64281E-021,-1.19797E-034,-109.112,1.04895E-015,54.7448,,,,35.3759580574661,109.112,54.7448,,54.3051,54.4167,109.126,,,,,,
0.265,-5229.58,-0.0000000000000192516,-35122.8,-3.53013E-035,1.69519E-020,-1.19912E-034,-109.086,1.04909E-015,54.6147,,,,35.5099927740967,109.086,54.6147,,54.1737,54.2856,109.093,,,,,,
0.266,-5136.73,-0.0000000000000194512,-35271.9,-3.95371E-035,1.69519E-020,-2.36198E-034,-109.057,1.04923E-015,54.4857,,,,35.6439745918283,109.057,54.4857,,54.0434,54.1556,109.058,,,,,,
0.267,-5044.43,-0.0000000000000196516,-35420.6,-1.59877E-035,1.69519E-020,-3.55025E-034,-109.027,1.04936E-015,54.3578,,,,35.7779985240217,109.027,54.3578,,53.9142,54.0268,109.022,,,,,,
0.268,-4952.67,-0.0000000000000198529,-35568.8,3.21519E-035,1.69519E-020,-4.75898E-034,-108.995,1.0495E-015,54.231,,,,35.9119544660117,108.995,54.231,,53.7862,53.8991,108.984,,,,,,
0.269,-4861.47,-0.0000000000000200551,-35716.7,-5.23006E-035,1.69519E-020,-5.99048E-034,-108.961,1.04964E-015,54.1052,,,,36.0460337547822,108.961,54.1052,,53.6592,53.7724,108.943,,,,,,
0.27,-4770.84,-0.0000000000000202582,-35864.1,5.27275E-035,1.69519E-020,5.60821E-034,-108.925,1.04977E-015,53.9806,,,,36.1800301701864,108.925,53.9806,,53.5334,53.6469,108.902,,,,,,
0.271,-4680.78,-0.0000000000000204621,-36011.1,3.13917E-035,1.69519E-020,-2.10858E-034,-108.888,1.04991E-015,53.857,,,,36.314033439132,108.888,53.857,,53.4086,53.5224,108.858,,,,,,
0.272,-4591.32,-0.0000000000000206669,-36157.7,4.08655E-035,1.69519E-020,1.95718E-035,-108.849,1.05005E-015,53.7345,,,,36.4480382000513,108.849,53.7345,,53.2849,53.399,108.813,,,,,,
0.273,-4502.46,-0.0000000000000208726,-36303.9,7.80333E-035,1.69519E-020,-1.13769E-034,-108.808,1.05018E-015,53.613,,,,36.582035225799,108.808,53.613,,53.1623,53.2767,108.766,,,,,,
0.274,-4414.2,-0.0000000000000210792,-36449.7,-1.66738E-035,1.69519E-020,-2.49136E-034,-108.766,1.05032E-015,53.4926,,,,36.7160154664146,108.766,53.4926,,53.0408,53.1554,108.718,,,,,,
0.275,-4326.57,-0.0000000000000212867,-36595.1,7.83924E-035,1.69519E-020,-3.86855E-034,-108.722,1.05045E-015,53.3732,,,,36.849973568171,108.722,53.3732,,52.9203,53.0353,108.667,,,,,,
0.276,-4239.57,-0.000000000000021495,-36740.2,4.7339E-035,1.69519E-020,-2.47601E-035,-108.677,1.05059E-015,53.2549,,,,36.9839999165166,108.677,53.2549,,52.8009,52.9161,108.616,,,,,,
0.277,-4153.21,-0.0000000000000217042,-36884.9,3.84722E-035,6.21884E-020,-1.66255E-034,-108.629,1.05072E-015,53.1376,,,,37.1179875709083,108.629,53.1376,,52.6826,52.798,108.562,,,,,,
0.278,-4067.5,-0.0000000000000219144,-37029.3,-2.1545E-035,6.21884E-020,-3.09654E-034,-108.581,1.05086E-015,53.0213,,,,37.2520283305487,108.581,53.0213,,52.5653,52.681,108.508,,,,,,
0.279,-3982.45,-0.0000000000000221254,-37173.3,2.80546E-035,6.21884E-020,-4.55028E-034,-108.53,1.051E-015,52.906,,,,37.386015311778,108.53,52.906,,52.449,52.5649,108.451,,,,,,
0.28,-3898.07,-0.0000000000000223372,-37317,-1.45573E-036,6.21884E-020,3.07355E-034,-108.479,1.05113E-015,52.7917,,,,37.520040494713,108.479,52.7917,,52.3337,52.4499,108.393,,,,,,
0.281,-3814.37,-0.00000000000002255,-37460.3,3.54456E-035,6.21884E-020,1.5818E-034,-108.425,1.05127E-015,52.6785,,,,37.6539970598992,108.425,52.6785,,52.2194,52.3359,108.334,,,,,,
0.282,-3731.36,-0.0000000000000227637,-37603.3,1.028E-035,6.21884E-020,7.89675E-036,-108.371,1.0514E-015,52.5662,,,,37.7879771665486,108.371,52.5662,,52.1062,52.2229,108.273,,,,,,
0.283,-3649.05,-0.0000000000000229782,-37746,1.45279E-035,6.21884E-020,-1.43989E-034,-108.314,1.05154E-015,52.4549,,,,37.9219736024182,108.314,52.4549,,51.9939,52.1109,108.21,,,,,,
0.284,-3567.44,-0.0000000000000231937,-37888.4,-2.3333E-035,6.21884E-020,-2.98155E-034,-108.257,1.05167E-015,52.3446,,,,38.0559782782364,108.257,52.3446,,51.8827,51.9999,108.146,,,,,,
0.285,-3486.55,-0.00000000000002341,-38030.5,-3.17304E-035,6.21884E-020,1.89042E-034,-108.198,1.05181E-015,52.2353,,,,38.189985089713,108.198,52.2353,,51.7724,51.8899,108.081,,,,,,
0.286,-3406.39,-0.0000000000000236272,-38172.3,-1.20872E-035,6.21884E-020,3.20346E-035,-108.137,1.05194E-015,52.1269,,,,38.3239870071226,108.137,52.1269,,51.6631,51.7808,108.014,,,,,,
0.287,-3326.96,-0.0000000000000238453,-38313.8,2.05114E-035,1.69519E-020,-1.24668E-034,-108.075,1.05207E-015,52.0195,,,,38.4579761984637,108.075,52.0195,,51.5548,51.6727,107.946,,,,,,
0.288,-3248.27,-0.0000000000000240643,-38455.1,2.08043E-035,1.69519E-020,-1.2462E-034,-108.012,1.05221E-015,51.913,,,,38.592045475757,108.012,51.913,,51.4474,51.5655,107.876,,,,,,
0.289,-3170.33,-0.0000000000000242843,-38596,3.74854E-035,1.69519E-020,-1.26041E-034,-107.947,1.05234E-015,51.8075,,,,38.7259887970456,107.947,51.8075,,51.341,51.4593,107.806,,,,,,
0.29,-3093.15,-0.0000000000000245051,-38736.7,3.77721E-035,1.69519E-020,-1.25955E-034,-107.881,1.05248E-015,51.7029,,,,38.8599987623842,107.881,51.7029,,51.2355,51.3541,107.733,,,,,,
0.291,-3016.74,-0.0000000000000247267,-38877.1,-2.62226E-035,1.69519E-020,-1.27288E-034,-107.814,1.05261E-015,51.5992,,,,38.9939690803283,107.814,51.5992,,51.1309,51.2497,107.66,,,,,,
0.292,-2941.11,-0.0000000000000249493,-39017.3,-1.00232E-035,6.21884E-020,-1.28737E-034,-107.745,1.05274E-015,51.4965,,,,39.1279928864502,107.745,51.4965,,51.0272,51.1463,107.585,,,,,,
0.293,-2866.27,-0.0000000000000251728,-39157.2,1.54131E-035,6.21884E-020,-2.93124E-034,-107.675,1.05288E-015,51.3946,,,,39.2619639798228,107.675,51.3946,,50.9245,51.0438,107.509,,,,,,
0.294,-2792.21,-0.0000000000000253972,-39296.9,-9.58714E-036,6.21884E-020,1.84606E-034,-107.603,1.05301E-015,51.2937,,,,39.3959742396872,107.603,51.2937,,50.8227,50.9422,107.431,,,,,,
0.295,-2718.96,-0.0000000000000256225,-39436.4,-9.97442E-036,1.69519E-020,1.84585E-034,-107.531,1.05315E-015,51.1936,,,,39.5300188267296,107.531,51.1936,,50.7217,50.8415,107.352,,,,,,
0.296,-2646.52,-0.0000000000000258487,-39575.6,-9.9049E-036,1.69519E-020,1.85128E-034,-107.457,1.05328E-015,51.0944,,,,39.6639910179296,107.457,51.0944,,50.6217,50.7416,107.272,,,,,,
0.297,-2574.89,-0.0000000000000260757,-39714.6,-1.02805E-035,1.69519E-020,1.85107E-034,-107.382,1.05341E-015,50.9961,,,,39.7979837639057,107.382,50.9961,,50.5225,50.6427,107.191,,,,,,
0.298,-2504.09,-0.0000000000000263037,-39853.4,-1.06496E-035,1.69519E-020,1.85086E-034,-107.306,1.05354E-015,50.8987,,,,39.9319916644299,107.306,50.8987,,50.4242,50.5446,107.108,,,,,,
0.299,-2434.13,-0.0000000000000265326,-39992,-1.10137E-035,6.21884E-020,1.85065E-034,-107.228,1.05368E-015,50.8021,,,,40.0660086963613,107.228,50.8021,,50.3267,50.4474,107.025,,,,,,
0.3,-2365,-0.0000000000000267624,-40130.4,-2.5536E-036,1.69519E-020,1.01417E-034,-107.149,1.05381E-015,50.7064,,,,40.2000277258611,107.149,50.7064,,50.2301,50.351,106.94,,,,,,
0.301,-2296.73,-0.0000000000000269931,-40268.6,-2.74525E-036,1.69519E-020,1.01412E-034,-107.069,1.05394E-015,50.6115,,,,40.3340441147785,107.069,50.6115,,50.1343,50.2554,106.854,,,,,,
0.302,-2229.31,-0.0000000000000272246,-40406.5,3.72445E-035,1.07425E-019,7.44255E-034,-106.988,1.05408E-015,50.5174,,,,40.4679510888073,106.988,50.5174,,50.0393,50.1607,106.766,,,,,,
0.303,-2162.75,-0.0000000000000274571,-40544.4,-1.4742E-035,1.69519E-020,3.17045E-034,-106.906,1.05421E-015,50.4242,,,,40.6020425461885,106.906,50.4242,,49.9452,50.0668,106.678,,,,,,
0.304,-2097.07,-0.0000000000000276905,-40682,-5.87566E-036,1.07425E-019,1.22741E-034,-106.822,1.05434E-015,50.3317,,,,40.7360138769725,106.822,50.3317,,49.8519,49.9737,106.588,,,,,,
0.305,-2032.26,-0.0000000000000279248,-40819.4,3.10258E-036,1.07425E-019,-1.60557E-034,-106.738,1.05447E-015,50.2401,,,,40.8699583688019,106.738,50.2401,,49.7594,49.8814,106.498,,,,,,
0.306,-1968.34,-0.00000000000002816,-40956.7,-4.52804E-036,1.07425E-019,7.57399E-035,-106.652,1.0546E-015,50.1492,,,,41.0039709936196,106.652,50.1492,,49.6676,49.7899,106.406,,,,,,
0.307,-1905.31,-0.000000000000028396,-41093.9,8.47292E-036,1.07425E-019,-6.06254E-035,-106.565,1.05474E-015,50.0592,,,,41.1380459356798,106.565,50.0592,,49.5766,49.6992,106.313,,,,,,
0.308,-1843.19,-0.000000000000028633,-41230.8,-4.34366E-036,1.07425E-019,-1.46894E-034,-106.477,1.05487E-015,49.9699,,,,41.2719786055394,106.477,49.9699,,49.4865,49.6092,106.219,,,,,,
0.309,-1781.97,-0.0000000000000288709,-41367.6,1.40159E-035,1.07425E-019,4.12296E-034,-106.388,1.055E-015,49.8814,,,,41.4059626967047,106.388,49.8814,,49.397,49.52,106.124,,,,,,
0.31,-1721.66,-0.0000000000000291097,-41504.3,-9.82179E-036,1.07425E-019,1.87944E-035,-106.298,1.05513E-015,49.7937,,,,41.5399931589499,106.298,49.7937,,49.3083,49.4316,106.027,,,,,,
0.311,-1662.28,-0.0000000000000293494,-41640.8,6.97935E-036,1.07425E-019,-1.3853E-034,-106.207,1.05526E-015,49.7067,,,,41.6739654873207,106.207,49.7067,,49.2204,49.3439,105.93,,,,,,
0.312,-1603.83,-0.00000000000002959,-41777.2,-1.15049E-035,1.69519E-020,-2.22719E-034,-106.115,1.05539E-015,49.6204,,,,41.8079742454582,106.115,49.6204,,49.1332,49.2569,105.832,,,,,,
0.313,-1546.31,-0.0000000000000298315,-41913.5,-2.01545E-035,1.69519E-020,-3.01672E-034,-106.022,1.05552E-015,49.5349,,,,41.9420142204222,106.022,49.5349,,49.0467,49.1707,105.732,,,,,,
0.314,-1489.73,-0.0000000000000300739,-42049.6,9.5534E-036,1.07425E-019,3.46844E-034,-105.928,1.05565E-015,49.4501,,,,42.0759807447539,105.928,49.4501,,48.9609,49.0852,105.632,,,,,,
0.315,-1434.11,-0.0000000000000303172,-42185.6,3.31578E-036,1.07425E-019,-1.49015E-034,-105.832,1.05578E-015,49.366,,,,42.2099694249131,105.832,49.366,,48.8758,49.0004,105.531,,,,,,
0.316,-1379.43,-0.0000000000000305613,-42321.5,-6.28823E-036,1.69519E-020,-2.32397E-034,-105.736,1.05591E-015,49.2826,,,,42.3439746525394,105.736,49.2826,,48.7914,48.9162,105.428,,,,,,
0.317,-1325.73,-0.0000000000000308064,-42457.3,-7.85238E-036,1.69519E-020,-2.50843E-034,-105.639,1.05604E-015,49.1999,,,,42.47799292955,105.639,49.1999,,48.7077,48.8328,105.325,,,,,,
0.318,-1272.99,-0.0000000000000310524,-42593,8.89763E-036,1.07425E-019,4.08747E-034,-105.54,1.05617E-015,49.1179,,,,42.6120188742578,105.54,49.1179,,48.6247,48.75,105.221,,,,,,
0.319,-1221.22,-0.0000000000000312993,-42728.6,5.62861E-036,1.07425E-019,2.27504E-034,-105.441,1.0563E-015,49.0366,,,,42.746048194522,105.441,49.0366,,48.5423,48.668,105.115,,,,,,
0.32,-1170.44,-0.0000000000000315471,-42864,-4.47296E-036,1.69519E-020,-3.57865E-034,-105.341,1.05643E-015,48.956,,,,42.8799769798632,105.341,48.956,,48.4606,48.5865,105.009,,,,,,
0.321,-1120.65,-0.0000000000000317958,-42999.4,-1.61196E-036,1.69519E-020,4.31122E-035,-105.24,1.05656E-015,48.876,,,,43.0140007065432,105.24,48.876,,48.3795,48.5057,104.902,,,,,,
0.322,-1071.85,-0.0000000000000320454,-43134.7,8.46912E-037,1.69519E-020,4.31102E-035,-105.138,1.05669E-015,48.7966,,,,43.1480150935417,105.138,48.7966,,48.2991,48.4256,104.794,,,,,,
0.323,-1024.06,-0.0000000000000322958,-43269.9,7.95377E-037,1.69519E-020,4.31112E-035,-105.035,1.05682E-015,48.7179,,,,43.2820164143678,105.035,48.7179,,48.2193,48.346,104.684,,,,,,
0.324,-977.272,-0.0000000000000325472,-43405,-1.12827E-036,1.69519E-020,-3.6067E-035,-104.931,1.05694E-015,48.6399,,,,43.4160003404503,104.931,48.6399,,48.1401,48.2671,104.574,,,,,,
0.325,-931.499,-0.0000000000000327994,-43540,-4.12964E-037,1.69519E-020,-3.75231E-035,-104.826,1.05707E-015,48.5624,,,,43.549963150237,104.826,48.5624,,48.0615,48.1888,104.464,,,,,,
0.326,-886.747,-0.0000000000000330526,-43675,-1.86648E-037,1.69519E-020,-3.86615E-035,-104.72,1.0572E-015,48.4856,,,,43.6840010214496,104.72,48.4856,,47.9834,48.1111,104.352,,,,,,
0.327,-843.021,-0.0000000000000333066,-43809.9,1.66967E-038,1.69519E-020,4.51284E-035,-104.614,1.05733E-015,48.4093,,,,43.8180102516812,104.614,48.4093,,47.906,48.034,104.239,,,,,,
0.328,-800.328,-0.0000000000000335616,-43944.7,2.95494E-038,1.07425E-019,-2.9919E-035,-104.506,1.05745E-015,48.3337,,,,43.9519872474224,104.506,48.3337,,47.8292,47.9575,104.125,,,,,,
0.329,-758.675,-0.0000000000000338174,-44079.5,-2.47225E-039,1.69519E-020,5.65602E-035,-104.398,1.05758E-015,48.2587,,,,44.0860284898246,104.398,48.2587,,47.7529,47.8815,104.011,,,,,,
0.33,-718.066,-0.0000000000000340741,-44214.2,-3.48468E-037,1.07425E-019,5.5589E-035,-104.289,1.05771E-015,48.1842,,,,44.2200305339148,104.289,48.1842,,47.6771,47.8061,103.896,,,,,,
0.331,-678.509,-0.0000000000000343317,-44348.8,-4.01462E-037,1.07425E-019,5.55884E-035,-104.178,1.05783E-015,48.1103,,,,44.3539900787188,104.178,48.1103,,47.602,47.7313,103.78,,,,,,
0.332,-640.009,-0.0000000000000345901,-44483.4,-2.96616E-036,1.07425E-019,1.00051E-034,-104.068,1.05796E-015,48.0369,,,,44.488003855872,104.068,48.0369,,47.5273,47.657,103.663,,,,,,
0.333,-602.573,-0.0000000000000348495,-44617.9,-3.36418E-036,1.07425E-019,6.38841E-035,-103.956,1.05808E-015,47.9641,,,,44.6219687444462,103.956,47.9641,,47.4532,47.5832,103.545,,,,,,
0.334,-566.205,-0.0000000000000351097,-44752.4,-6.88713E-037,1.07425E-019,2.50922E-035,-103.843,1.05821E-015,47.8919,,,,44.7559816545456,103.843,47.8919,,47.3795,47.51,103.426,,,,,,
0.335,-530.912,-0.0000000000000353708,-44886.9,-3.22517E-036,1.07425E-019,1.04674E-034,-103.73,1.05833E-015,47.8202,,,,44.8900396431296,103.73,47.8202,,47.3064,47.4372,103.307,,,,,,
0.336,-496.701,-0.0000000000000356328,-45021.3,-2.4279E-036,1.07425E-019,7.4288E-035,-103.615,1.05846E-015,47.749,,,,45.024039862871,103.615,47.749,,47.2338,47.365,103.186,,,,,,
0.337,-463.576,-0.0000000000000358957,-45155.6,-2.3473E-036,1.07425E-019,4.11829E-035,-103.5,1.05858E-015,47.6783,,,,45.1579795171106,103.5,47.6783,,47.1617,47.2932,103.065,,,,,,
0.338,-431.544,-0.0000000000000361594,-45289.9,-2.60705E-036,1.07425E-019,1.02625E-034,-103.384,1.05871E-015,47.6081,,,,45.2919559329682,103.384,47.6081,,47.09,47.222,102.943,,,,,,
0.339,-400.61,-0.000000000000036424,-45424.2,-4.65759E-037,1.69519E-020,2.24874E-035,-103.268,1.05883E-015,47.5384,,,,45.4259665170935,103.268,47.5384,,47.0188,47.1512,102.821,,,,,,
0.34,-370.78,-0.0000000000000366895,-45558.5,-2.99218E-036,1.07425E-019,1.02843E-034,-103.15,1.05896E-015,47.4692,,,,45.5600087802713,103.15,47.4692,,46.9481,47.0809,102.697,,,,,,
0.341,-342.059,-0.0000000000000369558,-45692.7,-4.02822E-037,1.07425E-019,-1.84198E-035,-103.032,1.05908E-015,47.4005,,,,45.6939803218048,103.032,47.4005,,46.8778,47.011,102.573,,,,,,
0.342,-314.455,-0.000000000000037223,-45826.9,-2.76944E-036,1.07425E-019,3.1613E-035,-102.913,1.0592E-015,47.3322,,,,45.8279788508835,102.913,47.3322,,46.808,46.9416,102.448,,,,,,
0.343,-287.971,-0.0000000000000374911,-45961.1,1.56306E-037,1.69519E-020,4.89142E-036,-102.793,1.05932E-015,47.2644,,,,45.9620021377098,102.793,47.2644,,46.7386,46.8726,102.322,,,,,,
0.344,-262.614,-0.00000000000003776,-46095.3,-2.73097E-036,1.07425E-019,2.5892E-035,-102.673,1.05945E-015,47.1971,,,,46.0960480757624,102.673,47.1971,,46.6696,46.804,102.196,,,,,,
0.345,-238.389,-0.0000000000000380298,-46229.4,8.04999E-037,1.69519E-020,-1.42533E-035,-102.552,1.05957E-015,47.1301,,,,46.2300146406566,102.552,47.1301,,46.601,46.7359,102.069,,,,,,
0.346,-215.302,-0.0000000000000383004,-46363.5,-8.83317E-037,1.69519E-020,-1.42051E-035,-102.43,1.05969E-015,47.0637,,,,46.3639999051118,102.43,47.0637,,46.5328,46.6681,101.941,,,,,,
0.347,-193.359,-0.0000000000000385719,-46497.6,-2.23159E-036,1.07425E-019,3.15305E-035,-102.307,1.05981E-015,46.9976,,,,46.4980020373229,102.307,46.9976,,46.465,46.6008,101.812,,,,,,
0.348,-172.564,-0.0000000000000388442,-46631.7,-1.78664E-036,1.07425E-019,5.83314E-035,-102.184,1.05993E-015,46.932,,,,46.632019291728,102.184,46.932,,46.3976,46.5338,101.683,,,,,,
0.349,-152.924,-0.0000000000000391174,-46765.7,6.99328E-037,1.69519E-020,-1.93676E-036,-102.059,1.06005E-015,46.8667,,,,46.7659500303349,102.059,46.8667,,46.3305,46.4673,101.553,,,,,,
0.35,-134.443,-0.0000000000000393914,-46899.8,3.68579E-037,1.69519E-020,5.83045E-036,-101.935,1.06017E-015,46.8019,,,,46.8999926968038,101.935,46.8019,,46.2638,46.4011,101.422,,,,,,
0.351,-117.127,-0.0000000000000396662,-47033.9,1.48293E-037,1.69519E-020,5.84066E-036,-101.809,1.06029E-015,46.7374,,,,47.0340458385639,101.809,46.7374,,46.1975,46.3352,101.29,,,,,,
0.352,-100.982,-0.0000000000000399419,-47167.9,2.572E-033,-5.77331E-018,4.11481E-032,-101.683,1.06041E-015,46.6733,,,,47.168008096318,101.683,46.6733,,46.1315,46.2697,101.158,,,,,,
0.353,-86.0124,-0.0000000000000402184,-47301.9,2.55873E-033,-5.77331E-018,4.1149E-032,-101.556,1.06053E-015,46.6096,,,,47.3019782011594,101.556,46.6096,,46.0658,46.2046,101.025,,,,,,
0.354,-72.2243,-0.0000000000000404958,-47435.9,-2.67223E-034,1.69519E-020,1.328E-034,-101.428,1.06064E-015,46.5463,,,,47.4359549831087,101.428,46.5463,,46.0005,46.1398,100.892,,,,,,
0.355,-59.6227,-0.0000000000000407739,-47570,-1.16328E-034,1.69519E-020,-5.20342E-034,-101.3,1.06076E-015,46.4833,,,,47.5700373645676,101.3,46.4833,,45.9354,46.0753,100.757,,,,,,
0.356,-48.2128,-0.0000000000000410529,-47704,-2.81067E-034,-2.87818E-018,-5.33962E-034,-101.171,1.06088E-015,46.4206,,,,47.7040243635072,101.171,46.4206,,45.8707,46.0111,100.623,,,,,,
0.357,-38,-0.0000000000000413328,-47838,-1.97439E-034,-2.87818E-018,-8.60174E-034,-101.042,1.061E-015,46.3583,,,,47.8380150926018,101.042,46.3583,,45.8063,45.9472,100.487,,,,,,
0.358,-28.9894,-0.0000000000000416134,-47972,2.4595E-033,-2.87818E-018,3.99562E-032,-100.911,1.06111E-015,46.2963,,,,47.9720087591224,100.911,46.2963,,45.7421,45.8837,100.351,,,,,,
0.359,-21.1862,-0.0000000000000418948,-48106,2.4527E-033,-1.43061E-018,3.99566E-032,-100.78,1.06123E-015,46.2346,,,,48.106004665271,100.78,46.2346,,45.6783,45.8204,100.214,,,,,,
0.36,-14.5957,-0.0000000000000421771,-48240,2.44057E-033,-1.43061E-018,3.99945E-032,-100.649,1.06134E-015,46.1732,,,,48.2400022080686,100.649,46.1732,,45.6147,45.7574,100.077,,,,,,
0.361,-9.2229,-0.0000000000000424601,-48374,1.84795E-034,1.69519E-020,-1.14751E-033,-100.517,1.06146E-015,46.1122,,,,48.3740008792108,100.517,46.1122,,45.5513,45.6946,99.9384,,,,,,
0.362,-5.07301,-0.000000000000042744,-48508,2.74447E-033,-7.06831E-019,4.0059E-032,-100.384,1.06157E-015,46.0514,,,,48.50800026527,100.384,46.0514,,45.4882,45.6322,99.7997,,,,,,
0.363,-2.15112,-0.0000000000000430286,-48642,1.70655E-034,1.69519E-020,-1.08316E-033,-100.25,1.06169E-015,45.9909,,,,48.642000047565,100.25,45.9909,,45.4254,45.5699,99.6603,,,,,,
0.364,-0.462311,-0.0000000000000433141,-48776,1.70315E-034,1.69519E-020,-1.08313E-033,-100.116,1.0618E-015,45.9306,,,,48.776000002191,100.116,45.9306,,45.3628,45.5079,99.5204,,,,,,
0.365,-0.0116298,-0.0000000000000436003,-48910,2.74133E-033,-1.63994E-019,4.00591E-032,-99.9815,1.06191E-015,45.8707,,,,48.9100000000014,99.9815,45.8707,,45.3004,45.4462,99.3798,,,,,,
0.366,-0.804113,-0.0000000000000438873,-49044,1.79878E-034,1.69519E-020,-1.1207E-033,-99.8462,1.06203E-015,45.811,,,,49.044000006592,99.8462,45.811,,45.2382,45.3846,99.2386,,,,,,
0.367,-2.84477,-0.000000000000044175,-49178,1.94987E-034,1.69519E-020,-1.1894E-033,-99.7103,1.06214E-015,45.7515,,,,49.1780000822798,99.7103,45.7515,,45.1762,45.3233,99.0969,,,,,,
0.368,-6.13858,-0.0000000000000444636,-49312,2.78478E-033,3.78843E-019,3.9946E-032,-99.5739,1.06225E-015,45.6923,,,,49.3120003820791,99.5739,45.6923,,45.1144,45.2622,98.9545,,,,,,
0.369,-10.6905,-0.0000000000000447529,-49446,1.94861E-034,3.78843E-019,-1.1556E-033,-99.4368,1.06236E-015,45.6333,,,,49.4460011556727,99.4368,45.6333,,45.0528,45.2013,98.8116,,,,,,
0.37,-16.5055,-0.0000000000000450429,-49580,1.43419E-034,3.78843E-019,-9.94229E-034,-99.2991,1.06247E-015,45.5745,,,,49.5800027473933,99.2991,45.5745,,44.9913,45.1405,98.668,,,,,,
