0 0 0
0.199993 0.00142445 0.00142445
0.399908 0.00562532 0.00562532
0.599673 0.0125322 0.0125322
0.799221 0.0220758 0.0220758
0.99849 0.0341871 0.0341871
1.19742 0.0487981 0.0487981
1.39597 0.0658416 0.0658416
1.59408 0.0852515 0.0852515
1.79172 0.106962 0.106962
1.98883 0.130911 0.130911
2.1854 0.157033 0.157033
2.38138 0.185268 0.185268
2.57674 0.215556 0.215556
2.77147 0.247836 0.247836
2.96553 0.282052 0.282052
3.15892 0.318146 0.318146
3.3516 0.356063 0.356063
3.54357 0.39575 0.39575
3.73481 0.437154 0.437154
3.92532 0.480223 0.480223
4.11508 0.524907 0.524907
4.30409 0.571159 0.571159
4.49234 0.618929 0.618929
4.67983 0.668173 0.668173
4.86656 0.718844 0.718844
5.05253 0.770901 0.770901
5.23773 0.824299 0.824299
5.42217 0.878997 0.878997
5.60586 0.934956 0.934956
5.78879 0.992137 0.992137
5.97097 1.0505 1.0505
6.15241 1.11001 1.11001
6.33311 1.17063 1.17063
6.51308 1.23233 1.23233
6.69233 1.29507 1.29507
6.87087 1.35882 1.35882
7.0487 1.42355 1.42355
7.22584 1.48922 1.48922
7.40229 1.55581 1.55581
7.57806 1.62329 1.62329
7.75317 1.69163 1.69163
7.92762 1.7608 1.7608
8.10144 1.83077 1.83077
8.27461 1.90153 1.90153
8.44717 1.97303 1.97303
8.61912 2.04527 2.04527
8.79047 2.11822 2.11822
8.96124 2.19185 2.19185
9.13143 2.26613 2.26613
9.30106 2.34106 2.34106
9.47015 2.41661 2.41661
9.63869 2.49275 2.49275
9.80672 2.56947 2.56947
9.97422 2.64675 2.64675
10.1412 2.72457 2.72457
10.3078 2.80291 2.80291
10.4738 2.88175 2.88175
10.6394 2.96108 2.96108
10.8045 3.04087 3.04087
10.9692 3.12112 3.12112
11.1335 3.20181 3.20181
11.2973 3.28291 3.28291
11.4608 3.36442 3.36442
11.6238 3.44632 3.44632
11.7865 3.5286 3.5286
11.9488 3.61124 3.61124
12.1108 3.69423 3.69423
12.2724 3.77755 3.77755
12.4337 3.86119 3.86119
12.5946 3.94514 3.94514
12.7553 4.02939 4.02939
12.9156 4.11392 4.11392
13.0757 4.19872 4.19872
13.2355 4.28378 4.28378
13.395 4.36909 4.36909
13.5543 4.45464 4.45464
13.7133 4.54041 4.54041
13.8721 4.6264 4.6264
14.0307 4.7126 4.7126
14.189 4.79898 4.79898
14.3472 4.88555 4.88555
14.5052 4.9723 4.9723
14.663 5.0592 5.0592
14.8206 5.14626 5.14626
14.978 5.23347 5.23347
15.1354 5.3208 5.3208
15.2925 5.40827 5.40827
15.4496 5.49584 5.49584
15.6065 5.58353 5.58353
15.7633 5.67131 5.67131
15.9201 5.75917 5.75917
16.0767 5.84712 5.84712
16.2332 5.93514 5.93514
16.3897 6.02321 6.02321
16.5462 6.11134 6.11134
16.7025 6.19952 6.19952
16.8589 6.28773 6.28773
17.0152 6.37596 6.37596
17.1715 6.46421 6.46421
17.3278 6.55247 6.55247
