# Time Moment
0 0
0.01 -5.96903e-11
0.02 0.0110102
0.03 0.0119569
0.04 0.0129111
0.05 0.013869
0.06 0.0148298
0.07 0.0158016
0.08 0.0167785
0.09 0.0177658
0.1 0.0187638
0.11 0.0197722
0.12 0.0207886
0.13 0.021816
0.14 0.0228544
0.15 0.0239041
0.16 0.0249651
0.17 0.0260375
0.18 0.0271214
0.19 0.0282162
0.2 0.0293222
0.21 0.0304402
0.22 0.0315702
0.23 0.0327126
0.24 0.0338674
0.25 0.0350348
0.26 0.0362151
0.27 0.0374083
0.28 0.0386148
0.29 0.0398346
0.3 0.0410681
0.31 0.0423155
0.32 0.0435769
0.33 0.0448526
0.34 0.0461429
0.35 0.0474479
0.36 0.048768
0.37 0.0501034
0.38 0.0514543
0.39 0.0528206
0.4 0.0542029
0.41 0.0556014
0.42 0.0570164
0.43 0.0584482
0.44 0.0598969
0.45 0.0613628
0.46 0.0628462
0.47 0.0643473
0.48 0.0658663
0.49 0.0674034
0.5 0.0689588
0.51 0.0705327
0.52 0.0721253
0.53 0.0737367
0.54 0.0753672
0.55 0.0770168
0.56 0.0786858
0.57 0.0803742
0.58 0.0820822
0.59 0.0838098
0.6 0.0855573
0.61 0.0873246
0.62 0.0891118
0.63 0.090919
0.64 0.0927462
0.65 0.0945935
0.66 0.0964609
0.67 0.0983482
0.68 0.100256
0.69 0.102183
0.7 0.104131
0.71 0.106098
0.72 0.108086
0.73 0.110093
0.74 0.112121
0.75 0.114168
0.76 0.116235
0.77 0.118322
0.78 0.120429
0.79 0.122556
0.8 0.124703
0.81 0.12687
0.82 0.129057
0.83 0.131264
0.84 0.133491
0.85 0.135738
0.86 0.138005
0.87 0.140292
0.88 0.142598
0.89 0.144924
0.9 0.14727
0.91 0.149634
0.92 0.152018
0.93 0.15442
0.94 0.156841
0.95 0.159281
0.96 0.161738
0.97 0.164214
0.98 0.166707
0.99 0.169217
1 0.171741
