x	y	z
0	0	0	0	0	0
0.05	-2.58493941423e-21	2.58493941423e-21	-5.22380964961e-12	-5.84233871513e-14	0.078539814
0.15	-2.58493941423e-20	2.58493941423e-20	-2.58426661623e-11	1.49144275095e-12	0.235619442
0.25	2.84343335565e-20	-2.84343335565e-20	-6.49569344664e-11	8.92087911872e-12	0.39269907
0.35	-1.29246970711e-20	1.29246970711e-20	-1.18266292975e-10	2.66587799753e-11	0.549778698
0.45	-7.75481824268e-21	7.75481824268e-21	-1.8067854465e-10	5.81324660779e-11	0.706858326
0.55	1.55096364854e-20	-1.55096364854e-20	-2.46175921001e-10	1.0580070723e-10	0.863937954
0.65	-7.75481824268e-21	7.75481824268e-21	-3.01023670495e-10	1.62832136341e-10	1.021017582
0.75	2.70833898429e-36	-2.70833898429e-36	-3.32983128014e-10	2.13496140643e-10	1.17809721
0.85	1.29246970711e-20	-1.29246970711e-20	-3.44901764352e-10	2.47284190284e-10	1.335176838
0.95	-1.55096364854e-20	1.55096364854e-20	-3.46317700732e-10	2.58919398591e-10	1.492256466
1	0	0	-3.45212950384e-10	2.58180048181e-10	1.57079628
