x	y	z
0	0	0	0	0	0
0.05	1.85288457212e-19	-1.85288457212e-19	-2.74092413025e-31	-6.02554112895e-28	0.078539814
0.15	-1.5881867761e-19	1.5881867761e-19	3.40509112526e-29	-6.06847607121e-28	0.235619442
0.25	1.05879118407e-19	-1.05879118407e-19	5.39691647936e-29	-6.12665257893e-28	0.39269907
0.35	-1.85288457212e-19	1.85288457212e-19	6.84574040751e-29	-6.20944652158e-28	0.549778698
0.45	1.5881867761e-19	-1.5881867761e-19	8.03133168467e-29	-6.33858132703e-28	0.706858326
0.55	7.94093388051e-20	-7.94093388051e-20	9.30195218327e-29	-6.55682555668e-28	0.863937954
0.65	7.94093388051e-20	-7.94093388051e-20	1.17591651726e-28	-6.92629140104e-28	1.021017582
0.75	-3.97046694025e-19	3.97046694025e-19	1.68052510076e-28	-7.51546887148e-28	1.17809721
0.85	2.38228016415e-19	-2.38228016415e-19	2.35420126122e-28	-8.27758338332e-28	1.335176838
0.95	3.70576914424e-19	-3.70576914424e-19	2.78492535181e-28	-8.61705347142e-28	1.492256466
1	0	0	2.86482205792e-28	-8.531016188e-28	1.57079628
