x	y	z
0	1.95378617289e-18	2.60504823052e-18
0.199956711212	0.00192841800021	0.00192841800021
0.599614293837	0.0123720726284	0.0123720726284
0.998387142688	0.0340744602577	0.0340744602577
1.39583808858	0.0656749457637	0.0656749457637
1.791557502	0.106763872293	0.106763872293
2.18521553491	0.156807042352	0.156807042352
2.57653993242	0.215308964091	0.215308964091
2.96531234786	0.281791090776	0.281791090776
3.35136155612	0.355795667769	0.355795667769
3.73455782997	0.436885772329	0.436885772329
4.11480774682	0.524645433829	0.524645433829
4.49204950468	0.618679460333	0.618679460333
4.86624870837	0.71861306817	0.71861306817
5.237394596	0.82409135716	0.82409135716
5.60549667366	0.934778670073	0.934778670074
5.97058172555	1.0503578682	1.0503578682
6.33269116739	1.17052954928	1.17052954928
6.69187871199	1.29501122913	1.29501122913
7.04820831741	1.42353650429	1.42353650429
7.40175238983	1.55585420933	1.55585420933
7.75259021521	1.69172757971	1.69172757971
8.10080659581	1.83093342846	1.83093342846
8.44649066962	1.97326134299	1.97326134299
8.78973489255	2.11851290671	2.11851290671
9.13063416536	2.26650094861	2.26650094861
9.4692850888	2.41704882299	2.41704882299
9.80578533216	2.56998972053	2.56998972053
10.140233102	2.72516601129	2.72516601129
10.4727266994	2.88242861943	2.88242861943
10.803364154	3.04163642938	3.04163642938
11.1322429277	3.20265572237	3.20265572237
11.4594596771	3.36535964251	3.36535964251
11.7851100686	3.52962769087	3.52962769087
12.1092886394	3.69534524642	3.69534524642
12.4320886986	3.86240311217	3.86240311217
12.7536022632	4.03069708501	4.03069708501
13.0739200236	4.20012754772	4.20012754772
13.3931313366	4.37059908162	4.37059908162
13.7113242407	4.54202009816	4.54202009816
14.0285854902	4.71430248806	4.71430248806
14.3450006081	4.88736128649	4.88736128649
14.6606539519	5.06111435266	5.06111435266
14.9756287924	5.23548206265	5.23548206265
15.2900074039	5.41038701385	5.41038701385
15.6038711619	5.58575373982	5.58575373982
15.9173006494	5.76150843419	5.76150843419
16.2303757693	5.93757868226	5.93757868226
16.5431758611	6.11389319924	6.11389319924
16.8557798224	6.29038157368	6.29038157368
17.1682662332	6.46697401505	6.46697401505
17.3244898575	6.55528755962	6.55528755963
