# Time anchorForceX anchorForceY anchorForceZ
0.01 -0.0004344901258 -6.811715975e-12 -5.641906863e-10
0.02 -7.800280224e-06 -6.811826298e-12 -1.3983669e-10
0.03 -0.000111423338 -6.811798991e-12 -5.629975978e-09
0.04 -0.0006778773353 -6.811793774e-12 -6.365846418e-08
0.05 -0.002205372926 -6.81179486e-12 -2.662638298e-07
0.06 -0.005127690917 -6.811802928e-12 -3.996909512e-07
0.065 -0.01160327434 -6.811798968e-12 -3.205040422e-08
0.07 -0.01458413599 -6.811785041e-12 8.322056444e-07
0.075 -0.01766334577 -6.811740627e-12 2.54166737e-06
0.08 -0.02102073472 -6.811647542e-12 5.047091721e-06
0.085 -0.02456572288 -6.811510352e-12 7.403707184e-06
0.09 -0.02828601699 -6.811392678e-12 7.523365976e-06
0.095 -0.03218593802 -6.811452216e-12 2.469230657e-06
0.1 -0.03627709855 -6.811920355e-12 -1.067437693e-05
0.1033333333 -0.04296450608 -6.812611933e-12 -2.7103528e-05
0.1066666667 -0.04620863037 -6.813574849e-12 -4.689049071e-05
0.11 -0.04913078807 -6.814695667e-12 -6.904099458e-05
0.1133333333 -0.0522577664 -6.815654174e-12 -8.944764118e-05
0.1166666667 -0.05547926356 -6.815869238e-12 -9.966734303e-05
0.12 -0.05876807766 -6.81461144e-12 -8.713339082e-05
0.1233333333 -0.06212530429 -6.811256926e-12 -3.586844853e-05
0.1266666667 -0.06557220073 -6.805676079e-12 7.150465802e-05
0.13 -0.06916975039 -6.798599382e-12 0.0002510629848
0.1333333333 -0.07303237301 -6.791733304e-12 0.0005154506659
0.1366666667 -0.07732819344 -6.787526135e-12 0.000873394421
0.14 -0.08226420313 -6.788800531e-12 0.001331019565
0.1425 -0.08913612702 -6.794021934e-12 0.00179474304
0.145 -0.09427784487 -6.806420311e-12 0.002288262668
0.1475 -0.09957667976 -6.827838922e-12 0.002837968817
0.15 -0.1056887909 -6.862304799e-12 0.00345936147
0.1525 -0.1125493965 -6.916831803e-12 0.004150883538
0.155 -0.1201167097 -7.002791272e-12 0.004908813913
0.1575 -0.1283690915 -7.137394247e-12 0.005727038016
0.16 -0.1372724289 -7.344807938e-12 0.006595790815
0.1625 -0.1467840518 -7.656800464e-12 0.007502415832
0.165 -0.1568573744 -8.112833465e-12 0.008433236398
0.1675 -0.1674425488 -8.75935968e-12 0.009376032963
0.17 -0.1784865592 -9.647655343e-12 0.01032259801
0.172 -0.1894202584 -1.058883301e-11 0.01119078995
0.174 -0.1991872132 -1.17242276e-11 0.01197896716
0.176 -0.2086948337 -1.308240868e-11 0.01274267238
0.178 -0.2185279199 -1.468616631e-11 0.01352237327
0.18 -0.2286421982 -1.652872768e-11 0.01432002231
0.182 -0.2389898216 -1.858018926e-11 0.01513438611
0.184 -0.2495871447 -2.078712904e-11 0.01596469199
0.186 -0.2604731826 -2.30725559e-11 0.01680877943
0.188 -0.2716999773 -2.534310281e-11 0.01766435624
0.19 -0.2833299232 -2.75037068e-11 0.01853128588
0.192 -0.2954281761 -2.947654249e-11 0.01941329871
0.194 -0.3080522897 -3.121796664e-11 0.02031843441
0.196 -0.3212428597 -3.272589324e-11 0.02125799058
0.198 -0.3350179377 -3.403245826e-11 0.02224434583
0.2 -0.3493722487 -3.518293999e-11 0.02328868254
0.202 -0.3642804888 -3.620889355e-11 0.02439996623
0.204 -0.3797031563 -3.710729855e-11 0.02558615772
0.206 -0.3955935462 -3.783550175e-11 0.02685751592
0.208 -0.411905023 -3.832458136e-11 0.02823054916
0.21 -0.4285980131 -3.850533388e-11 0.02973052617
0.2116666667 -0.4454979229 -3.859905787e-11 0.03128357618
0.2133333333 -0.4607779855 -3.829571218e-11 0.03284101156
0.215 -0.4752530857 -3.768333287e-11 0.03447954094
0.2166666667 -0.4900816326 -3.688591401e-11 0.03630063579
0.2183333333 -0.5053287393 -3.596346853e-11 0.0383235324
0.22 -0.5209049983 -3.49709526e-11 0.04054820452
0.2216666667 -0.53682831 -3.39635769e-11 0.04297411007
0.2233333333 -0.5531487672 -3.298284642e-11 0.04559570747
0.225 -0.5699070334 -3.204898867e-11 0.04840065184
0.2266666667 -0.58713016 -3.115937823e-11 0.0513704333
0.2283333333 -0.6048315011 -3.029165684e-11 0.0544803738
0.23 -0.6230103062 -2.941285065e-11 0.05769886098
0.2314285714 -0.6411311922 -2.870117855e-11 0.06072663571
0.2328571429 -0.6583024398 -2.790196509e-11 0.06366706623
0.2342857143 -0.6747393229 -2.703810473e-11 0.06650601621
0.2357142857 -0.6915016429 -2.617238204e-11 0.06931863392
0.2371428571 -0.708728996 -2.534385027e-11 0.07209948994
0.2385714286 -0.7262810861 -2.457239854e-11 0.07482373236
0.24 -0.7441070565 -2.384404616e-11 0.07748551132
0.2411111111 -0.7609963957 -2.333430416e-11 0.0798240177
0.2420987654 -0.7765145095 -2.284574554e-11 0.08192352919
0.2430864198 -0.7901753051 -2.222349816e-11 0.08379936087
0.2440740741 -0.8026994147 -2.14207832e-11 0.08553351708
0.2449206349 -0.8146294225 -2.058810906e-11 0.08713818583
0.2457671958 -0.8270438012 -1.954806744e-11 0.08879109979
0.2466137566 -0.8388796673 -1.8237685e-11 0.0903833912
0.2474603175 -0.8503499433 -1.662449472e-11 0.09194157124
0.2483068783 -0.8619709973 -1.468940761e-11 0.09352419437
0.2491534392 -0.8738865203 -1.241979352e-11 0.0951488305
0.25 -0.8860080668 -9.813801799e-12 0.09680714332
