# Time forceX forceY forceZ
0.01 0.0008698239648 6.810950285e-12 3.436518917e-10
0.02 -2.047034624e-06 6.811055346e-12 1.775920584e-05
0.03 -0.0001155295202 6.812233137e-12 6.260326901e-05
0.04 -0.0006832552769 6.816134118e-12 0.0001100722959
0.05 -0.002216204795 6.821030911e-12 0.0001635381538
0.06 -0.005142618232 6.824381742e-12 0.0002600559093
0.065 -0.01184649221 6.83883201e-12 0.001129266713
0.07 -0.01438751249 6.803855418e-12 0.0004568284508
0.075 -0.01766658162 6.790389109e-12 0.0007587110944
0.08 -0.02102380974 6.75827075e-12 0.0009345839884
0.085 -0.02456317992 6.724554461e-12 0.001102661746
0.09 -0.02828029836 6.719299597e-12 0.001273406977
0.095 -0.03217754447 6.767575638e-12 0.001448669694
0.1 -0.03626618204 6.789768425e-12 0.001629488591
0.1033333333 -0.04337991974 6.56961191e-12 0.002818050168
0.1066666667 -0.04574674822 6.451198712e-12 0.001920401873
0.11 -0.04908922669 6.226317395e-12 0.002217545468
0.1133333333 -0.05224423075 5.952510733e-12 0.002365244219
0.1166666667 -0.05545761667 5.763818928e-12 0.002499800761
0.12 -0.05874463562 5.646554996e-12 0.002634485761
0.1233333333 -0.06210038653 5.272329155e-12 0.002771474948
0.1266666667 -0.06554330213 4.721156741e-12 0.002912319901
0.13 -0.06913297018 4.196536795e-12 0.003060013117
0.1333333333 -0.07298331 3.619885553e-12 0.003219794439
0.1366666667 -0.0772634426 2.968178213e-12 0.00339917392
0.14 -0.08218288119 2.421608314e-12 0.003607195183
0.1425 -0.08956174374 1.903247576e-13 0.005033087393
0.145 -0.09363222232 1.687531761e-12 0.003992956318
0.1475 -0.09941954079 8.052225029e-13 0.004384525494
0.15 -0.1055991229 -1.48614952e-13 0.004656294761
0.1525 -0.1124589599 -9.912331715e-13 0.004944385627
0.155 -0.1200416994 -1.336588498e-12 0.005260104989
0.1575 -0.1283210763 -4.301844321e-13 0.005601822078
0.16 -0.1372574444 1.018286343e-12 0.005966520894
0.1625 -0.1468055263 7.892678138e-13 0.006352119171
0.165 -0.1569163027 -5.812065815e-13 0.006759031266
0.1675 -0.1675378292 -1.666805433e-12 0.007191855221
0.17 -0.1786157446 -2.488051981e-12 0.007661033569
0.172 -0.1901523428 -5.14683795e-12 0.009568435539
0.174 -0.1988030809 -3.420971188e-12 0.008540118647
0.176 -0.2088168891 -3.927476168e-12 0.009176519427
0.178 -0.2187709453 -3.684820015e-12 0.009774461576
0.18 -0.2288878123 -3.119396587e-12 0.01046462628
0.182 -0.2392379976 -2.858248756e-12 0.01127451852
0.184 -0.2498423582 -2.562556744e-12 0.01222067308
0.186 -0.2607324126 -2.060753749e-12 0.01331590895
0.188 -0.2719572945 -1.797328901e-12 0.01456857755
0.19 -0.2835771128 -1.775806355e-12 0.01598128151
0.192 -0.2956544077 -1.465124787e-12 0.01755011153
0.194 -0.3082447008 -1.084377345e-12 0.01926444543
0.196 -0.3213879131 -1.486193502e-12 0.02110733684
0.198 -0.3351030402 -2.44641583e-12 0.02305657773
0.2 -0.3493872229 -2.787124627e-12 0.02508644858
0.202 -0.3642186634 -2.67274899e-12 0.0271699927
0.204 -0.3795619832 -2.628371045e-12 0.02928147155
0.206 -0.3953747667 -3.404082434e-12 0.03139857884
0.208 -0.4116145082 -5.109840528e-12 0.03350404879
0.21 -0.4282454386 -6.748359876e-12 0.0355864694
0.2116666667 -0.4463481436 -6.634631528e-12 0.03969139685
0.2133333333 -0.4591465446 -6.829514738e-12 0.03920370738
0.215 -0.4745279192 -5.702989092e-12 0.04100150221
0.2166666667 -0.4896532167 -6.947077511e-12 0.0426799657
0.2183333333 -0.5049031118 -1.142723824e-11 0.0443359944
0.22 -0.5204779399 -1.448808461e-11 0.04599189343
0.2216666667 -0.5364396228 -1.636620185e-11 0.04765847236
0.2233333333 -0.5528216114 -1.770897029e-11 0.04934665469
0.225 -0.5696575558 -1.737855311e-11 0.05106987481
0.2266666667 -0.5869740038 -1.577854456e-11 0.05284364408
0.2283333333 -0.60478308 -1.381895865e-11 0.05468523923
0.23 -0.6230806414 -1.217150035e-11 0.05661384578
0.2314285714 -0.6426926113 -5.692032254e-12 0.06090717476
0.2328571429 -0.657313297 -8.475796621e-12 0.0603471444
0.2342857143 -0.6747527723 -6.02090952e-12 0.06238546612
0.2357142857 -0.6920101228 -3.819039345e-12 0.06447088676
0.2371428571 -0.7093325736 -2.099413154e-12 0.06668447423
0.2385714286 -0.7268969267 6.268578851e-13 0.06906113015
0.24 -0.7447407293 4.90788667e-12 0.0716211508
0.2411111111 -0.7649066267 2.245427663e-11 0.07868705072
0.2420987654 -0.7760146064 1.879994289e-11 0.07809549124
0.2430864198 -0.7881832846 1.612137116e-11 0.07825401715
0.2440740741 -0.8024474002 2.023032106e-11 0.08060433379
0.2449206349 -0.8177242263 3.473999688e-11 0.08565264571
0.2457671958 -0.826330022 2.925658637e-11 0.08473001474
0.2466137566 -0.8383720822 3.36644476e-11 0.08695001354
0.2474603175 -0.8504243606 3.803620077e-11 0.08919226858
0.2483068783 -0.8623809892 4.212095264e-11 0.09148302708
0.2491534392 -0.8742877013 4.651525181e-11 0.09382258233
0.25 -0.8862579056 5.092235446e-11 0.09621573476
